금연구역명,금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
간데메공원,공원전체,서울특별시,동대문구,금연공원,서울특별시 동대문구 간접흡연 피해방지 조례,15180,100000,02-2127-4632,,서울특별시 동대문구 답십리동 471,서울특별시동대문구청,37.57278098,127.0490643,2021-03-02
꿈동산어린이공원,공원전체,서울특별시,동대문구,금연공원,서울특별시 동대문구 간접흡연 피해방지 조례,1571,100000,02-2127-4632,,서울특별시 동대문구 답십리동 1002-1,서울특별시동대문구청,37.573261,127.045818,2021-03-02
내길공원,공원전체,서울특별시,동대문구,금연공원,서울특별시 동대문구 간접흡연 피해방지 조례,515,100000,02-2127-4632,,서울특별시 동대문구 휘경동 368-4,서울특별시동대문구청,37.590291,127.065076,2021-03-02
느티나무어린이공원,공원전체,서울특별시,동대문구,금연공원,서울특별시 동대문구 간접흡연 피해방지 조례,1719,100000,02-2127-4632,,서울특별시 동대문구 용두동 138-61,서울특별시동대문구청,37.578991,,2021-03-02
늘봄어린이공원,공원전체,서울특별시,동대문구,금연공원,서울특별시 동대문구 간접흡연 피해방지 조례,1659,100000,02-2127-4632,,서울특별시 동대문구 장안동 343,서울특별시동대문구청,37.5713224,127.0725756,2021-03-02
늘푸른어린이공원,공원전체,서울특별시,동대문구,금연공원,서울특별시 동대문구 간접흡연 피해방지 조례,1653,100000,02-2127-4632,,서울특별시 동대문구 장안동 303,서울특별시동대문구청,37.576169,127.071547,2021-03-02
답십리공원,공원전체,서울특별시,동대문구,금연공원,서울특별시 동대문구 간접흡연 피해방지 조례,160419,100000,02-2127-4632,,서울특별시 동대문구 답십리동 산2-9,서울특별시동대문구청,37.57332011,127.0638227,2021-03-02
동산어린이공원,공원전체,서울특별시,동대문구,금연공원,서울특별시 동대문구 간접흡연 피해방지 조례,1359,100000,02-2127-4632,,서울특별시 동대문구 답십리동 998-1,서울특별시동대문구청,,127.057524,2021-03-02
마로니에어린이공원,공원전체,서울특별시,동대문구,금연공원,서울특별시 동대문구 간접흡연 피해방지 조례,1656,100000,02-2127-4632,,서울특별시 동대문구 장안동 325,서울특별시동대문구청,,127.073691,2021-03-02
미나리어린이공원,공원전체,서울특별시,동대문구,금연공원,서울특별시 동대문구 간접흡연 피해방지 조례,1636,100000,02-2127-4632,,서울특별시 동대문구 장안동 449,서울특별시동대문구청,37.5638584,127.0679826,2021-03-02
미리내어린이공원,공원전체,서울특별시,동대문구,금연공원,서울특별시 동대문구 간접흡연 피해방지 조례,833,100000,02-2127-4632,,서울특별시 동대문구 장안동 93-29,서울특별시동대문구청,37.580783,,2021-03-02
방아다리어린이공원,공원전체,서울특별시,동대문구,금연공원,서울특별시 동대문구 간접흡연 피해방지 조례,1537,100000,02-2127-4632,,서울특별시 동대문구 제기동 132-1,서울특별시동대문구청,37.585047,127.034809,2021-03-02
배봉산공원,공원전체,서울특별시,동대문구,금연공원,서울특별시 동대문구 간접흡연 피해방지 조례,265582,100000,02-2127-4632,,서울특별시 동대문구 전농동 산32-20,서울특별시동대문구청,37.58121369,127.0675923,2021-03-02
보림어린이공원,공원전체,서울특별시,동대문구,금연공원,서울특별시 동대문구 간접흡연 피해방지 조례,1592,100000,02-2127-4632,,서울특별시 동대문구 휘경동 179-9,서울특별시동대문구청,37.59222758,127.0611988,2021-03-02
새샘공원,공원전체,서울특별시,동대문구,금연공원,서울특별시 동대문구 간접흡연 피해방지 조례,8910,100000,02-2127-4632,,서울특별시 동대문구 답십리동 1004-7,서울특별시동대문구청,37.569037,127.055007,2021-03-02
샛별어린이공원,공원전체,서울특별시,동대문구,금연공원,서울특별시 동대문구 간접흡연 피해방지 조례,1653,100000,02-2127-4632,,서울특별시 동대문구 장안동 379,서울특별시동대문구청,37.5678103,127.0674784,2021-03-02
선농단공원,공원전체,서울특별시,동대문구,금연공원,서울특별시 동대문구 간접흡연 피해방지 조례,3933,100000,02-2127-4632,,서울특별시 동대문구 제기동 274-1,서울특별시동대문구청,37.58118548,127.0318896,2021-03-02
