금연구역명,금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
동작구청,건물 및 대지 전체,서울특별시,동작구,정부 및 자치단체 청사,국민건강증진법 제 9조,,100000,02-820-9437,서울특별시 동작구 장승배기로 161,서울특별시 동작구 노량진동 47-2,서울특별시 동작구청장,37.51252922,126.9399439,2021-04-01
동작문화복지센터,건물 및 대지 전체,서울특별시,동작구,정부 및 자치단체 청사,국민건강증진법 제 9조,,100000,02-820-9437,서울특별시 동작구 장승배기로10길 42,서울특별시 동작구 상도동 176-3,서울특별시 동작구청장,37.50444598,126.9410904,2021-04-01
동작구청 임차청사,건물 및 대지 전체,서울특별시,동작구,정부 및 자치단체 청사,국민건강증진법 제 9조,,100000,02-820-9437,서울특별시 동작구 노량진로 74,서울특별시 동작구 대방동 49-6,서울특별시 동작구청장,37.51272028,126.9340267,2021-04-01
동작구의회,건물 및 대지 전체,서울특별시,동작구,정부 및 자치단체 청사,국민건강증진법 제 9조,,100000,02-820-9437,서울특별시 동작구 장승배기로 161,서울특별시 동작구 노량진동 47-2,서울특별시 동작구청장,37.51252922,126.9399439,2021-04-01
노량진제1동 주민센터,건물 및 대지 전체,서울특별시,동작구,정부 및 자치단체 청사,국민건강증진법 제 9조,,100000,02-820-9437,서울특별시 동작구 장승배기로28길 30,서울특별시 동작구 노량진동 84-100,서울특별시 동작구청장,37.5123068,126.9419936,2021-04-01
노량진제1동 현장민원실,건물 및 대지 전체,서울특별시,동작구,정부 및 자치단체 청사,국민건강증진법 제 9조,,100000,02-820-9437,서울특별시 동작구 노량진로32길 10,서울특별시 동작구 본동 10-23,서울특별시 동작구청장,37.5130985,126.9561008,2021-04-01
노량진제2동 주민센터,건물 및 대지 전체,서울특별시,동작구,정부 및 자치단체 청사,국민건강증진법 제 9조,,100000,02-820-9437,서울특별시 동작구 장승배기로19길 48,서울특별시 동작구 노량진동 302-97,서울특별시 동작구청장,37.50850577,126.9373186,2021-04-01
상도제1동 주민센터,건물 및 대지 전체,서울특별시,동작구,정부 및 자치단체 청사,국민건강증진법 제 9조,,100000,02-820-9437,서울특별시 동작구 상도로53길 9,서울특별시 동작구 상도동 437,서울특별시 동작구청장,37.49810106,126.9530826,2021-04-01
상도제2동 주민센터,건물 및 대지 전체,서울특별시,동작구,정부 및 자치단체 청사,국민건강증진법 제 9조,,100000,02-820-9437,서울특별시 동작구 상도로 211,서울특별시 동작구 상도동 25-48,서울특별시 동작구청장,37.50546652,126.942302,2021-04-01
상도제3동 주민센터,건물 및 대지 전체,서울특별시,동작구,정부 및 자치단체 청사,국민건강증진법 제 9조,,100000,02-820-9437,서울특별시 동작구 성대로2길 11,서울특별시 동작구 상도동 315-37,서울특별시 동작구청장,37.49912482,126.9314052,2021-04-01
