금연구역명,금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
3POP PC CAFE,PC방,서울특별시,은평구,게임산업진흥에관한법률에따른 인터넷컴퓨터게임시설제공업소,국민건강증진법제9조,,100000,02-351-8243,"서울특별시 은평구 연서로 73, 지하1층 (역촌동)",서울특별시 은평구 역촌동 62-1 지하1층,서울특별시 은평구청,37.60564576,126.9150659,2021-03-01
"비원PC방,비투박스코인노래연습장",PC방,서울특별시,은평구,게임산업진흥에관한법률에따른 인터넷컴퓨터게임시설제공업소,국민건강증진법제9조,,100000,02-351-8243,"서울특별시 은평구 갈현로 300, 지하1층 (갈현동)",서울특별시 은평구 갈현동 424-16 지하1층,서울특별시 은평구청,37.62360899,126.9174194,2021-03-01
웹시티PC방,PC방,서울특별시,은평구,게임산업진흥에관한법률에따른 인터넷컴퓨터게임시설제공업소,국민건강증진법제9조,,100000,02-351-8243,"서울특별시 은평구 통일로 731, 3층 (대조동)",서울특별시 은평구 대조동 14-1 3층,서울특별시 은평구청,37.61062266,126.9294663,2021-03-01
홀릭PC방,PC방,서울특별시,은평구,게임산업진흥에관한법률에따른 인터넷컴퓨터게임시설제공업소,국민건강증진법제9조,,100000,02-351-8243,"서울특별시 은평구 은평로 52 (신사동,지층)",서울특별시 은평구 신사동 21-1 지층,서울특별시 은평구청,37.59844965,126.9135965,2021-03-01
집PC클럽(응암점),PC방,서울특별시,은평구,게임산업진흥에관한법률에따른 인터넷컴퓨터게임시설제공업소,국민건강증진법제9조,,100000,02-351-8243,"서울특별시 은평구 가좌로7길 28-1 (응암동,2층)",서울특별시 은평구 응암동 695-11 2층,서울특별시 은평구청,37.58603804,126.9181462,2021-03-01
씨엘PC방,PC방,서울특별시,은평구,게임산업진흥에관한법률에따른 인터넷컴퓨터게임시설제공업소,국민건강증진법제9조,,100000,02-351-8243,"서울특별시 은평구 녹번로 57 (녹번동,지층)",서울특별시 은평구 녹번동 109-14 지층,서울특별시 은평구청,37.60626261,126.9308649,2021-03-01
긱스타PC CAFE,PC방,서울특별시,은평구,게임산업진흥에관한법률에따른 인터넷컴퓨터게임시설제공업소,국민건강증진법제9조,,100000,02-351-8243,"서울특별시 은평구 연서로32길 3, 지층 (불광동)",서울특별시 은평구 불광동 353-66 지층,서울특별시 은평구청,37.6203629,126.9249555,2021-03-01
T.G.O PC방,PC방,서울특별시,은평구,게임산업진흥에관한법률에따른 인터넷컴퓨터게임시설제공업소,국민건강증진법제9조,,100000,02-351-8243,"서울특별시 은평구 응암로 168-1 (응암동,2층,3층)","서울특별시 은평구 응암동 603-63 2층,3층",서울특별시 은평구청,37.58694039,126.916619,2021-03-01
유비트pc방,PC방,서울특별시,은평구,게임산업진흥에관한법률에따른 인터넷컴퓨터게임시설제공업소,국민건강증진법제9조,,100000,02-351-8243,"서울특별시 은평구 갈현로41길 10-1 (갈현동,3층)",서울특별시 은평구 갈현동 422-24 3층,서울특별시 은평구청,37.62460539,126.9162639,2021-03-01
아이닉스 PC방,PC방,서울특별시,은평구,게임산업진흥에관한법률에따른 인터넷컴퓨터게임시설제공업소,국민건강증진법제9조,,100000,02-351-8243,"서울특별시 은평구 은평로 192, 지층 (응암동)",서울특별시 은평구 응암동 81-3 지층,서울특별시 은평구청,37.60121585,126.9289612,2021-03-01
