금연구역명,금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
SG스크린골프수유점,제육시설면적 전체,서울특별시,강북구,가상체험 체육시설업,국민건강증진법,1,100000,02-901-7683,"서울특별시 강북구 삼양로 325, A동 1층 (수유동)",,서울특별시 강북구청,37.63262444,127.0173602,2021-05-18
한일골프스쿨,제육시설면적 전체,서울특별시,강북구,골프연습장업,국민건강증진법,1,100000,02-901-7683,서울특별시 강북구 삼양로 438 (수유동),,서울특별시 강북구청,37.64253912,127.0166746,2021-05-18
삼성골프클럽,제육시설면적 전체,서울특별시,강북구,골프연습장업,국민건강증진법,1,100000,02-901-7683,"서울특별시 강북구 한천로 1121, 수유삼성아파트 상가동 지하층 (수유동)",,서울특별시 강북구청,37.64487825,127.0194994,2021-05-18
럭키 골프 클럽,제육시설면적 전체,서울특별시,강북구,골프연습장업,국민건강증진법,1,100000,02-901-7683,"서울특별시 강북구 한천로 1013, 2,3층 (번동)",,서울특별시 강북구청,37.63832233,127.0286612,2021-05-18
드림골프스토리,제육시설면적 전체,서울특별시,강북구,골프연습장업,국민건강증진법,1,100000,02-901-7683,서울특별시 강북구 오현로 131 (번동),,서울특별시 강북구청,37.62413889,127.0373304,2021-05-18
가인헬쓰,제육시설면적 전체,서울특별시,강북구,골프연습장업,국민건강증진법,1,100000,02-901-7683,서울특별시 강북구 삼양로 424 (수유동),,서울특별시 강북구청,37.64142564,127.0171312,2021-05-18
파스칼 스크린,제육시설면적 전체,서울특별시,강북구,골프연습장업,국민건강증진법,1,100000,02-901-7683,서울특별시 강북구 덕릉로 113 (번동),,서울특별시 강북구청,37.63513182,127.0263686,2021-05-18
프린세스 골프존,제육시설면적 전체,서울특별시,강북구,골프연습장업,국민건강증진법,1,100000,02-901-7683,서울특별시 강북구 삼양로 441 (수유동),,서울특별시 강북구청,37.64292171,127.0160917,2021-05-18
라온스크린골프,제육시설면적 전체,서울특별시,강북구,골프연습장업,국민건강증진법,1,100000,02-901-7683,서울특별시 강북구 솔샘로 233 (미아동),,서울특별시 강북구청,37.62042081,127.0190952,2021-05-18
하바나 스크린골프,제육시설면적 전체,서울특별시,강북구,골프연습장업,국민건강증진법,1,100000,02-901-7683,서울특별시 강북구 도봉로 260 (미아동),,서울특별시 강북구청,37.63170982,127.0244192,2021-05-18
에덴골프,제육시설면적 전체,서울특별시,강북구,골프연습장업,국민건강증진법,1,100000,02-901-7683,서울특별시 강북구 월계로 193 (번동),,서울특별시 강북구청,37.62145589,127.0453625,2021-05-18
고릴라 멀티짐,제육시설면적 전체,서울특별시,강북구,골프연습장업,국민건강증진법,1,100000,02-901-7683,서울특별시 강북구 도봉로 352 (번동),,서울특별시 강북구청,37.63867847,127.0270476,2021-05-18
온다 스크린 골프존,제육시설면적 전체,서울특별시,강북구,골프연습장업,국민건강증진법,1,100000,02-901-7683,"서울특별시 강북구 도봉로 158, B동 (미아동)",,서울특별시 강북구청,37.62310079,127.0277602,2021-05-18
