금연구역명,금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
강덕,공원전체,서울특별시,강동구,공원,국민건강증진법제9조,46699,100000,02-3425-6704,서울특별시 강동구 강일동 산11-6,서울특별시 강동구 강일동 산11-6,서울특별시 강동구청,37.559353,127.175697,2021-08-30
강일,공원전체,서울특별시,강동구,공원,국민건강증진법제9조,34591,100000,02-3425-6704,서울특별시 강동구 강일동 332-5,서울특별시 강동구 강일동 332-5,서울특별시 강동구청,37.569596,127.174548,2021-08-30
게내,공원전체,서울특별시,강동구,공원,국민건강증진법제9조,1500,100000,02-3425-6704,서울특별시 강동구 상일로5길26,서울특별시 강동구 상일동 278,서울특별시 강동구청,37.5492477,127.1714755,2021-08-30
고명,공원전체,서울특별시,강동구,공원,국민건강증진법제9조,545,100000,02-3425-6704,서울특별시 강동구 명일1동 312-30,서울특별시 강동구 명일1동 312-30,서울특별시 강동구청,37.552435,127.143378,2021-08-30
고분다리,공원전체,서울특별시,강동구,공원,국민건강증진법제9조,1622,100000,02-3425-6704,서울특별시 강동구 구천면로39길23,서울특별시 강동구 천호2동 300,서울특별시 강동구청,37.54540502,127.131874,2021-08-30
곰돌이,공원전체,서울특별시,강동구,공원,국민건강증진법제9조,1983,100000,02-3425-6704,서울특별시 강동구 고덕1동 308,서울특별시 강동구 고덕1동 308,서울특별시 강동구청,37.556198,127.154962,2021-08-30
광나루,공원전체,서울특별시,강동구,공원,국민건강증진법제9조,1638,100000,02-3425-6704,서울특별시 강동구 상암로12-19,서울특별시 강동구 암사2동 515,서울특별시 강동구청,37.550071,127.1255454,2021-08-30
광진,공원전체,서울특별시,강동구,공원,국민건강증진법제9조,1673,100000,02-3425-6704,서울특별시 강동구 구천면로13길21,서울특별시 강동구 천호2동 338-19,서울특별시 강동구청,37.542992,127.122541,2021-08-30
구암,공원전체,서울특별시,강동구,공원,국민건강증진법제9조,1648,100000,02-3425-6704,서울특별시 강동구 암사3동 449-8,서울특별시 강동구 암사3동 449-8,서울특별시 강동구청,37.556532,127.137655,2021-08-30
까치,공원전체,서울특별시,강동구,공원,국민건강증진법제9조,1966,100000,02-3425-6704,서울특별시 강동구 고덕로 55길70,서울특별시 강동구 고덕1동 493,서울특별시 강동구청,37.557076,127.150006,2021-08-30
까치,공원전체,서울특별시,강동구,공원,국민건강증진법제9조,49464,100000,02-3425-6704,서울특별시 강동구 상일동 177,서울특별시 강동구 상일동 177,서울특별시 강동구청,37.557027,127.150011,2021-08-30
꽃보라,공원전체,서울특별시,강동구,공원,국민건강증진법제9조,3642,100000,02-3425-6704,서울특별시 강동구 강일동 317-1,서울특별시 강동구 강일동 317-1,서울특별시 강동구청,37.565401,127.175773,2021-08-30
꿈나래,공원전체,서울특별시,강동구,공원,국민건강증진법제9조,1500,100000,02-3425-6704,서울특별시 강동구 아리수로64길29,서울특별시 강동구 고덕1동 536,서울특별시 강동구청,37.560865,127.153795,2021-08-30
꿈터,공원전체,서울특별시,강동구,공원,국민건강증진법제9조,1804,100000,02-3425-6704,서울특별시 강동구 강일동 429-1,서울특별시 강동구 강일동 429-1,서울특별시 강동구청,37.560859,127.180301,2021-08-30
나루,공원전체,서울특별시,강동구,공원,국민건강증진법제9조,1500,100000,02-3425-6704,서울특별시 강동구 천호2동 569-1,서울특별시 강동구 천호2동 569-1,서울특별시 강동구청,37.547016,127.123608,2021-08-30
능골,공원전체,서울특별시,강동구,공원,국민건강증진법제9조,31464,100000,02-3425-6704,서울특별시 강동구 강일동 산19,서울특별시 강동구 강일동 산19,서울특별시 강동구청,37.556876,127.174715,2021-08-30
다솜,공원전체,서울특별시,강동구,공원,국민건강증진법제9조,3125,100000,02-3425-6704,서울특별시 강동구 강일동 333-1,서울특별시 강동구 강일동 333-1,서울특별시 강동구청,37.568889,127.174671,2021-08-30
달님,공원전체,서울특별시,강동구,공원,국민건강증진법제9조,999,100000,02-3425-6704,서울특별시 강동구 양재대로112길52,서울특별시 강동구 길동 405-21,서울특별시 강동구청,37.53621038,127.142547,2021-08-30
당말,공원전체,서울특별시,강동구,공원,국민건강증진법제9조,2409,100000,02-3425-6704,서울특별시 강동구 진황도로29길34,서울특별시 강동구 천호3동 167-195,서울특별시 강동구청,37.53912769,127.133261,2021-08-30
동명,공원전체,서울특별시,강동구,공원,국민건강증진법제9조,99599,100000,02-3425-6704,서울특별시 강동구 고덕2동 229 외1,서울특별시 강동구 고덕2동 229 외1,서울특별시 강동구청,37.561065,127.164427,2021-08-30
동산,공원전체,서울특별시,강동구,공원,국민건강증진법제9조,1646,100000,02-3425-6702,서울특별시 강동구 천호2동 305-11,서울특별시 강동구 천호2동 305-11,서울특별시 강동구청,37.547163,127.129688,2021-08-30
동자,공원전체,서울특별시,강동구,공원,국민건강증진법제9조,6416,100000,02-3425-6702,서울특별시 강동구 고덕1동 648,서울특별시 강동구 고덕1동 648,서울특별시 강동구청,37.559769,127.152444,2021-08-30
동자,공원전체,서울특별시,강동구,공원,국민건강증진법제9조,15208,100000,02-3425-6702,서울특별시 강동구 상일동 132,서울특별시 강동구 상일동 132,서울특별시 강동구청,37.552428,127.167038,2021-08-30
두레,공원전체,서울특별시,강동구,공원,국민건강증진법제9조,13460,100000,02-3425-6702,서울특별시 강동구 고덕1동 497,서울특별시 강동구 고덕1동 497,서울특별시 강동구청,37.557982,127.152347,2021-08-30
