금연구역명,금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
압구정중학교,출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 압구정로 225,,서울특별시 강남구청,37.5302105,127.0330038,2021-08-10
언북중학교,출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 도산대로38길 27,,서울특별시 강남구청,37.51942711,127.0331257,2021-08-10
언주중학교,출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 선릉로116길 57,,서울특별시 강남구청,37.51465442,127.0466835,2021-08-10
역삼중학교,출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 도곡로43길 10,,서울특별시 강남구청,37.49593424,127.0488928,2021-08-10
은성중학교,출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 남부순환로359길 36,,서울특별시 강남구청,37.48837785,127.0352333,2021-08-10
중동중학교,출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 일원로8길 37,,서울특별시 강남구청,37.48851553,127.0786207,2021-08-10
진선여자중학교,출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 선릉로85길 27,,서울특별시 강남구청,37.5023028,127.0482862,2021-08-10
청담중학교,출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 압구정로61길 36,,서울특별시 강남구청,37.52866033,127.0448097,2021-08-10
휘문중학교,출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 역삼로 541,,서울특별시 강남구청,37.50528774,127.0619956,2021-08-10
국악중학교,출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 개포로22길 65,,서울특별시 강남구청,37.4762299,127.0514757,2021-08-10
개포고등학교,출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 개포로 402,,서울특별시 강남구청,37.48495876,127.0594054,2021-08-10
경기고등학교,출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 영동대로 643,,서울특별시 강남구청,37.51756598,127.0560739,2021-08-10
경기여자고등학교,출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 삼성로 29,,서울특별시 강남구청,37.48691615,127.0654539,2021-08-10
단국대학교사범대학부속고등학교,출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 도곡로78길 22,,서울특별시 강남구청,37.49663609,127.0588507,2021-08-10
서울세종고등학교,출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 광평로51길 36,,서울특별시 강남구청,37.4903266,127.1027988,2021-08-10
숙명여자고등학교,출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 남부순환로 2807,,서울특별시 강남구청,37.49147446,127.0526124,2021-08-10
압구정고등학교,출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 압구정로39길 20,,서울특별시 강남구청,37.5311729,127.0327101,2021-08-10
영동고등학교,출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 선릉로 742,,서울특별시 강남구청,37.52138784,127.0437374,2021-08-10
은광여자고등학교,출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 남부순환로359길 36,,서울특별시 강남구청,37.48837785,127.0352333,2021-08-10
중동고등학교,출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 일원로 7,,서울특별시 강남구청,37.49371459,127.0809111,2021-08-10
중산고등학교,출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 일원로14길 22,,서울특별시 강남구청,37.48574212,127.0814271,2021-08-10
중앙대학교사범대학부속고등학교,출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 선릉로 207,,서울특별시 강남구청,37.4919416,127.0521317,2021-08-10
진선여자고등학교,출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교정화구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 선릉로85길 27,,서울특별시 강남구청,37.5023028,127.0482862,2021-08-10
