금연구역명,금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
가양초등학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 허준로 186,서울특별시 강서구 가양동 1484,서울특별시 강서구보건소,37.56221656,126.8585205,2021-03-09
등서초등학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 화곡로58길 86,서울특별시 강서구 화곡동 1130-4,서울특별시 강서구보건소,37.55188331,126.8550364,2021-03-09
등양초등학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 강서로56나길 140,서울특별시 강서구 등촌동 691,서울특별시 강서구보건소,37.5649455,126.8447608,2021-03-09
등원초등학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 화곡로65길 90,서울특별시 강서구 등촌동 704-1,서울특별시 강서구보건소,37.55981308,126.8500683,2021-03-09
등촌초등학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 등촌로39길 71,서울특별시 강서구 등촌동 520-4,서울특별시 강서구보건소,37.54761251,126.8579416,2021-03-09
등현초등학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 화곡로65길 124,서울특별시 강서구 등촌동 702-5,서울특별시 강서구보건소,37.56144973,126.8475976,2021-03-09
염강초등학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 허준로 221-22,서울특별시 강서구 가양동 1492,서울특별시 강서구보건소,37.56111323,126.8642225,2021-03-09
염창초등학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 양천로 646-28,서울특별시 강서구 염창동 269,서울특별시 강서구보건소,37.55322433,126.8676002,2021-03-09
탑산초등학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 허준로 109,서울특별시 강서구 가양동 1473,서울특별시 강서구보건소,37.56701674,126.8523675,2021-03-09
유석초등학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 화곡로69길 9,서울특별시 강서구 등촌동 82-1,서울특별시 강서구보건소,37.56080163,126.8537787,2021-03-09
공진초등학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 마곡서로 33,서울특별시 강서구 마곡동 749-2,서울특별시 강서구보건소,37.55782887,126.822611,2021-03-09
등마초등학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 등촌로35길 12,서울특별시 강서구 등촌동 718,서울특별시 강서구보건소,37.54204516,126.8616681,2021-03-09
발산초등학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 강서로45길 113,서울특별시 강서구 내발산동 408,서울특별시 강서구보건소,37.55026198,126.8309942,2021-03-09
수명초등학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 수명로1길 84,서울특별시 강서구 내발산동 752,서울특별시 강서구보건소,37.55277438,126.8238815,2021-03-09
신곡초등학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 등촌로13자길 42-14,서울특별시 강서구 화곡동 476-42,서울특별시 강서구보건소,37.53909393,126.8560116,2021-03-09
신정초등학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 곰달래로31가길 27,서울특별시 강서구 화곡동 869-42,서울특별시 강서구보건소,37.53207243,126.8523594,2021-03-09
우장초등학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 화곡로 263,서울특별시 강서구 화곡동 18-5,서울특별시 강서구보건소,37.54963737,126.8459831,2021-03-09
화곡초등학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 초록마을로 28,서울특별시 강서구 화곡동 24-266,서울특별시 강서구보건소,37.5436698,126.8464706,2021-03-09
화일초등학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 까치산로10길 70,서울특별시 강서구 화곡동 61-184,서울특별시 강서구보건소,37.54071221,126.8474724,2021-03-09
경서중학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 양천로59길 31,서울특별시 강서구 가양동 1483,서울특별시 강서구보건소,37.56124257,126.8577618,2021-03-09
등명중학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 공항대로39길 39,서울특별시 강서구 등촌동 690-4,서울특별시 강서구보건소,37.56019353,126.8433039,2021-03-09
등원중학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 화곡로65길 50,서울특별시 강서구 등촌동 707-4,서울특별시 강서구보건소,37.55971781,126.8516802,2021-03-09
마포중학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 화곡로 403,서울특별시 강서구 등촌동 82-1,서울특별시 강서구보건소,37.55998993,126.8531328,2021-03-09
백석중학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 등촌로51나길 35,서울특별시 강서구 등촌동 520-5,서울특별시 강서구보건소,37.54829127,126.8589542,2021-03-09
성재중학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 허준로 36,서울특별시 강서구 가양동 1463,서울특별시 강서구보건소,37.56945118,126.8452948,2021-03-09
경복비즈니스고등학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 화곡로 379,서울특별시 강서구 등촌동 131,서울특별시 강서구보건소,37.55809726,126.8526703,2021-03-09
경복여자고등학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 화곡로63길 40,서울특별시 강서구 등촌동 131,서울특별시 강서구보건소,37.55782075,126.8505974,2021-03-09
동양고등학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 허준로 50,서울특별시 강서구 가양동 1464,서울특별시 강서구보건소,37.56902103,126.8470796,2021-03-09
등촌고등학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 공항대로39길 115,서울특별시 강서구 등촌동 691-2,서울특별시 강서구보건소,37.56294567,126.8450457,2021-03-09
마포고등학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 화곡로 403,서울특별시 강서구 등촌동 82-1,서울특별시 강서구보건소,37.55998993,126.8531328,2021-03-09
영등포공업고등학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 허준로5길 15,서울특별시 강서구 가양동 1468,서울특별시 강서구보건소,37.56983571,126.8500301,2021-03-09
영일고등학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 등촌로51가길 26,서울특별시 강서구 등촌동 525,서울특별시 강서구보건소,37.54728582,126.8620613,2021-03-09
덕원중학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 강서로45길 91-44,서울특별시 강서구 내발산동 산 59-2,서울특별시 강서구보건소,37.54862294,126.8290243,2021-03-09
송정중학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 남부순환로 121,서울특별시 강서구 공항동 768-1,서울특별시 강서구보건소,37.55315762,126.8152434,2021-03-09
수명중학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 수명로2길 16,서울특별시 강서구 내발산동 757,서울특별시 강서구보건소,37.54856519,126.8240588,2021-03-09
화곡중학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 강서로45길 70,서울특별시 강서구 내발산동 715,서울특별시 강서구보건소,37.54915792,126.8326534,2021-03-09
대일고등학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 등촌로 105,서울특별시 강서구 등촌동 563-2,서울특별시 강서구보건소,37.53948834,126.8634018,2021-03-09
덕원여자고등학교,학교출입문으로부터 직선거리 50m 이내,서울특별시,강서구,학교절대정화구역,서울특별시 강서구 간접흡연 피해방지 조례 제5조,,100000,02-2600-5846,서울특별시 강서구 강서로45길 91-44,서울특별시 강서구 내발산동 산 59-2,서울특별시 강서구보건소,37.54862294,126.8290243,2021-03-09
