금연구역명,금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
가산디지털단지역 주변,7번 출입구로부터 90m 구간 거리 전체,서울특별시,금천구,금연거리,금천구 간접흡연 피해방지 조례,,100000,02-2627-2617,서울특별시 금천구 벚꽃로 309(가산동),서울특별시 금천구 가산동 319-7,서울특별시 금천구청,37.48159574,126.8825595,2021-09-08
가산디지털단지역 주변,"5,6번 출구 양방향 (280m) 구간",서울특별시,금천구,금연거리,금천구 간접흡연 피해방지 조례,,100000,02-2627-2617,서울특별시 금천구 가산디지털1로 42,서울특별시 금천구 가산동 319-7,서울특별시 금천구청,37.47021006,126.8870096,2021-09-08
가산디지털단지역 주변,"2,3,4번 출구 양방향 (500m) 구간",서울특별시,금천구,금연거리,금천구 간접흡연 피해방지 조례,,100000,02-2627-2617,서울특별시 금천구 가산로 25,서울특별시 금천구 독산동 200-4,서울특별시 금천구청,37.471119,126.900103,2021-09-08
가산디지털역,1번출입구로부터 10m 이내,서울특별시,금천구,지하철 출입구,금천구 간접흡연 피해방지 조례,,100000,02-2627-2617,서울특별시 금천구 벚꽃로 309,서울특별시 금천구 가산동 319-7,서울특별시 금천구청,37.48159574,126.8825595,2021-09-08
독산역,2번출입구로부터 10m 이내,서울특별시,금천구,지하철 출입구,금천구 간접흡연 피해방지 조례,,100000,02-2627-2617,서울특별시 금천구 벚꽃로 115,서울특별시 금천구 가산동 717,서울특별시 금천구청,37.46598732,126.8895142,2021-09-08
독산역,1번출입구로부터 10m 이내,서울특별시,금천구,지하철 출입구,금천구 간접흡연 피해방지 조례,,100000,02-2627-2617,서울특별시 금천구 벚꽃로 115,서울특별시 금천구 가산동 717,서울특별시 금천구청,37.46598732,126.8895142,2021-09-08
금천구청역,1번출입구로부터 10m 이내,서울특별시,금천구,지하철 출입구,금천구 간접흡연 피해방지 조례,,100000,02-2627-2617,서울특별시 금천구 시흥대로 63길 91,,서울특별시 금천구청,37.45560998,126.8945141,2021-09-08
궁도장,궁도장 전체,서울특별시,금천구,궁도장,금천구 간접흡연 피해방지 조례,,100000,02-2627-2617,서울특별시 금천구 호암로 298,서울특별시 금천구 시흥동 산100-1,서울특별시 금천구청,37.45310968,126.9216369,2021-09-08
하모니광장,하모니광장 전체,서울특별시,금천구,광장,금천구 간접흡연 피해방지 조례,706,100000,02-2627-2617,서울특별시 금천구 시흥대로73길 67,,서울특별시 금천구청,37.45594256,126.8957474,2021-09-08
금천구청역 광장,광장 전체(금천구청역 출입구로부터),서울특별시,금천구,광장,금천구 간접흡연 피해방지 조례,,100000,02-2627-2617,서울특별시 금천구 시흥대로 63길 91,,서울특별시 금천구청,37.45560998,126.8945141,2021-09-08
금천M타워 주변 및 양측거리,"금천M타워 주변 및 양측거리(170m, 103m)",서울특별시,금천구,금연구역 및 금연거리,금천구 간접흡연 피해방지 조례,1067170,100000,02-2627-2617,,금천구 시흥동 1031,서울특별시 금천구청,,,2021-09-08
국립전통예술고등학교,출입문으로부터 50m 이내,서울특별시,금천구,고등학교,금천구 간접흡연 피해방지 조례,,100000,02-2627-2617,"서울특별시 금천구 시흥대로38길 62 , 국립전통예술고등학교 (시흥동,서울국악예술중.고등학교)",,서울특별시 금천구청,37.44637069,126.906409,2021-09-08
금천고등학교,출입문으로부터 50m 이내,서울특별시,금천구,고등학교,금천구 간접흡연 피해방지 조례,,100000,02-2627-2617,서울특별시 금천구 시흥대로38길 26,,서울특별시 금천구청,37.44489502,126.9049018,2021-09-08
독산고등학교,출입문으로부터 50m 이내,서울특별시,금천구,고등학교,금천구 간접흡연 피해방지 조례,,100000,02-2627-2617,"서울특별시 금천구 문성로 64 , 독산고등학교 (독산동)",,서울특별시 금천구청,37.47621872,126.9109396,2021-09-08
동일여자고등학교,출입문으로부터 50m 이내,서울특별시,금천구,고등학교,금천구 간접흡연 피해방지 조례,,100000,02-2627-2617,서울특별시 금천구 탑골로10길 45 (시흥동),,서울특별시 금천구청,37.45193626,126.9158199,2021-09-08
문일고등학교,출입문으로부터 50m 이내,서울특별시,금천구,고등학교,금천구 간접흡연 피해방지 조례,,100000,02-2627-2617,서울특별시 금천구 시흥대로47길 45 (시흥동),,서울특별시 금천구청,37.44891526,126.8987207,2021-09-08
동일여자상업고등학교,출입문으로부터 50m 이내,서울특별시,금천구,고등학교,금천구 간접흡연 피해방지 조례,,100000,02-2627-2617,서울특별시 금천구 탑골로10길 45 (시흥동),,서울특별시 금천구청,37.45193626,126.9158199,2021-09-08
