금연구역명,금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
햇빛어린이집 놀이터,시설전체,서울특별시,구로구,어린이놀이시설,국민건강증진법 제9조 제4항,0,100000,02-860-3225,서울특별시 구로구 디지털로31길 90 삼성래미안아파트 114동,서울특별시 구로구 구로동 256-1,서울특별시 구로구청,37.48875094,126.8920335,2021-07-20
구로삼성래미안아파트 116동 앞 놀이터,시설전체,서울특별시,구로구,어린이놀이시설,국민건강증진법 제9조 제4항,0,100000,02-860-3225,,서울특별시 구로구 구로동 256-1,서울특별시 구로구청,37.48875094,126.8920335,2021-07-20
구로삼성래미안아파트 114동 앞 놀이터,시설전체,서울특별시,구로구,어린이놀이시설,국민건강증진법 제9조 제4항,0,100000,02-860-3225,,서울특별시 구로구 구로동 256-1,서울특별시 구로구청,37.48875094,126.8920335,2021-07-20
구로삼성래미안아파트 104동 앞 놀이터,시설전체,서울특별시,구로구,어린이놀이시설,국민건강증진법 제9조 제4항,0,100000,02-860-3225,,서울특별시 구로구 구로동 256-1,서울특별시 구로구청,37.48875094,126.8920335,2021-07-20
하얀어린이집 놀이터,시설전체,서울특별시,구로구,어린이놀이시설,국민건강증진법 제9조 제4항,0,100000,02-860-3225,서울특별시 구로구 개봉로11길 7-11,서울특별시 구로구 개봉동 348-4,서울특별시 구로구청,37.48750618,126.8557274,2021-07-20
가린열 어린이공원 놀이터,시설전체,서울특별시,구로구,어린이놀이시설,국민건강증진법 제9조 제4항,0,100000,02-860-3225,,서울특별시 구로구 개봉동 458-4,서울특별시 구로구청,37.50063314,126.8542334,2021-07-20
온수도시자연공원 잣절공원 놀이터,시설전체,서울특별시,구로구,어린이놀이시설,국민건강증진법 제9조 제4항,0,100000,02-860-3225,서울특별시 구로구 개봉동 45-2,,서울특별시 구로구청,37.48299532,126.8872345,2021-07-20
천왕 이펜하우스S 연우 어린이집 놀이터,시설전체,서울특별시,구로구,어린이놀이시설,국민건강증진법 제9조 제4항,0,100000,02-860-3225,,서울특별시 구로구 천왕동 277-14,서울특별시 구로구청,37.48162634,126.8394182,2021-07-20
신도림쌍용플래티넘노블 놀이터,시설전체,서울특별시,구로구,어린이놀이시설,국민건강증진법 제9조 제4항,0,100000,02-860-3225,,서울특별시 구로구 구로동 47,서울특별시 구로구청,37.50145646,126.8920143,2021-07-20
은별어린이집 놀이터 2,시설전체,서울특별시,구로구,어린이놀이시설,국민건강증진법 제9조 제4항,0,100000,02-860-3225,서울특별시 구로구 오리로22나길 8-3,,서울특별시 구로구청,37.4996359,126.830561,2021-07-20
