금연구역명,금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
새문안로2길 일대,새문안로2길 일대,서울특별시,종로구,거리,서울특별시 종로구 금연환경조성 및 간접흡연 피해방지 조례,652,100000,02-2148-3544,서울특별시 종로구 새문안로2길,,서울특별시 종로구청,,,2021-07-12
흥인지문 공원,흥인지문 공원,서울특별시,종로구,도시공원,서울특별시 종로구,11.5197,100000,02-2148-3544,서울특별시 종로구 종로6가 70,,서울특별시 종로구청,,,2021-07-12
옥인어린이 공원,옥인어린이 공원,서울특별시,종로구,도시공원,서울특별시 종로구,472.1,100000,02-2148-3544,서울특별시 종로구 옥인동 187-2,,서울특별시 종로구청,,,2021-07-12
무악어린이 공원,무악어린이 공원,서울특별시,종로구,도시공원,서울특별시 종로구,5.136,100000,02-2148-3544,서울특별시 종로구 무악동 산2-83,,서울특별시 종로구청,,,2021-07-12
부암튼튼,부암튼튼,서울특별시,종로구,도시공원,서울특별시 종로구,1.258,100000,02-2148-3544,서울특별시 종로구 부암동 262-1,,서울특별시 종로구청,,,2021-07-12
백동어린이 놀이터,백동어린이 놀이터,서울특별시,종로구,도시공원,서울특별시 종로구,209.9,100000,02-2148-3544,서울특별시 종로구 동숭동 2-34 일대,,서울특별시 종로구청,,,2021-07-12
숭인어린이 놀이터,숭인어린이 놀이터,서울특별시,종로구,도시공원,서울특별시 종로구,402,100000,02-2148-3544,서울특별시 종로구 숭인동 605,,서울특별시 종로구청,,,2021-07-12
귀빈예식장옆 쉼터,귀빈예식장옆 쉼터,서울특별시,종로구,도시공원,서울특별시 종로구,820,100000,02-2148-3544,서울특별시 종로구 평창동 43-3,,서울특별시 종로구청,,,2021-07-12
평창아띠,평창아띠,서울특별시,종로구,도시공원,서울특별시 종로구,450,100000,02-2148-3544,서울특별시 종로구 평창동 273-3,,서울특별시 종로구청,,,2021-07-12
창이어린이 놀이터,창이어린이 놀이터,서울특별시,종로구,도시공원,서울특별시 종로구,766,100000,02-2148-3544,서울특별시 종로구 창신동 622-12,,서울특별시 종로구청,,,2021-07-12
세종마을어린이 놀이터,세종마을어린이 놀이터,서울특별시,종로구,도시공원,서울특별시 종로구,500,100000,02-2148-3544,서울특별시 종로구 옥인동 23-350,,서울특별시 종로구청,,,2021-07-12
산마루 놀이터,산마루 놀이터,서울특별시,종로구,도시공원,서울특별시 종로구,2.187,100000,02-2148-3544,서울특별시 종로구 창신동 23-350,,서울특별시 종로구청,,,2021-07-12
공평지구,공평지구,서울특별시,종로구,도시공원,서울특별시 종로구,219.9,100000,02-2148-3544,서울특별시 종로구 인사동 275일대,,서울특별시 종로구청,,,2021-07-12
"도렴4,5지구","도렴4,5지구",서울특별시,종로구,도시공원,서울특별시 종로구,527.6,100000,02-2148-3544,서울특별시 종로구 신문로1가 240-2,,서울특별시 종로구청,,,2021-07-12
의주,의주,서울특별시,종로구,도시공원,서울특별시 종로구,364,100000,02-2148-3544,서울특별시 종로구 무악동 89-1,,서울특별시 종로구청,,,2021-07-12
원서,원서,서울특별시,종로구,도시공원,서울특별시 종로구,10.0046,100000,02-2148-3544,서울특별시 종로구 원서동 181,,서울특별시 종로구청,,,2021-07-12
창덕,창덕,서울특별시,종로구,도시공원,서울특별시 종로구,6.75,100000,02-2148-3544,서울특별시 종로구 와룡동 2-71,,서울특별시 종로구청,,,2021-07-12
달바위,달바위,서울특별시,종로구,도시공원,서울특별시 종로구,3.3178,100000,02-2148-3544,서울특별시 종로구 송월동 145-2,,서울특별시 종로구청,,,2021-07-12
솔빛,솔빛,서울특별시,종로구,도시공원,서울특별시 종로구,1.7933,100000,02-2148-3544,서울특별시 종로구 송월동 145-3,,서울특별시 종로구청,,,2021-07-12
소담,소담,서울특별시,종로구,도시공원,서울특별시 종로구,491.4,100000,02-2148-3544,서울특별시 종로구 행촌동 211-4,,서울특별시 종로구청,,,2021-07-12
종묘광장,종묘광장,서울특별시,종로구,도시공원,서울특별시 종로구,42.045,100000,02-2148-3544,서울특별시 종로구 훈정동 2,,서울특별시 종로구청,,,2021-07-12
"교보~KT, D타워~KT사잇길","교보~KT, D타워~KT사잇길",서울특별시,종로구,거리,서울특별시 종로구 금연환경조성 및 간접흡연 피해방지 조례,,100000,02-2148-3544,서울특별시 종로구 종로1길 42,,서울특별시 종로구청,37.57390428,126.9789853,2021-07-12
그랑서울과 SC은행 사이 보행로,그랑서울과 SC은행 사이 보행로,서울특별시,종로구,거리,서울특별시 종로구 금연환경조성 및 간접흡연 피해방지 조례,273.15,100000,02-2148-3544,서울특별시 종로구 종로 33,,서울특별시 종로구청,37.57096024,126.9814402,2021-07-12
인사동길,인사동길 주거리,서울특별시,종로구,거리,서울특별시 종로구 금연환경조성 및 간접흡연 피해방지 조례,580,100000,02-2148-3544,서울특별시 종로구 인사동길 59,,서울특별시 종로구청,37.57514475,126.9833863,2021-07-12
중학천 보행로,중학천 보행로,서울특별시,종로구,거리,서울특별시 종로구 금연환경조성 및 간접흡연 피해방지 조례,219.87,100000,02-2148-3544,서울특별시 종로구 종로3길 17,,서울특별시 종로구청,37.570922,126.9789137,2021-07-12
청진공원 주변보도,청진공원 주변보도,서울특별시,종로구,거리,서울특별시 종로구 금연환경조성 및 간접흡연 피해방지 조례,,100000,02-2148-3544,서울특별시 종로구 종로3길 24-15,,서울특별시 종로구청,37.57167716,126.9797421,2021-07-12
효제초등학교 주변 보행로,효제초등학교 주변 보행로,서울특별시,종로구,거리,서울특별시 종로구 금연환경조성 및 간접흡연 피해방지 조례,,100000,02-2148-3544,서울특별시 종로구 김상옥로 42-1,,서울특별시 종로구청,37.57316011,127.0024315,2021-07-12
종로구청 주변 도로,"삼봉로, 종로1길, 종로3길, 종로5길 양쪽 보도 및 차도 1,500m/ 교보생명~광화문KT 앞 보도 250m",서울특별시,종로구,거리,서울특별시 종로구 금연환경조성 및 간접흡연 피해방지 조례,,100000,02-2148-3544,서울특별시 종로구 삼봉로 43,,서울특별시 종로구청,37.57319787,126.9788134,2021-07-12
서울대학교병원 주변 보도 및 이면도로,"서울대병원 후문 함춘회관 ~ 우체국한사랑의집(대학로5길), 194m/혜화역 3번 출입구 ~ 함춘약국(대학로 93 ~ 133), 247m",서울특별시,종로구,거리,서울특별시 종로구 금연환경조성 및 간접흡연 피해방지 조례,,100000,02-2148-3544,서울특별시 종로구 대학로 5길 61,,서울특별시 종로구청,37.57968692,127.0017027,2021-07-12
서울지방국세청 어린이집 주변,수송동 80-1(도로) 일대,서울특별시,종로구,거리,서울특별시 종로구 금연환경조성 및 간접흡연 피해방지 조례,,100000,02-2148-3544,서울특별시 종로구 종로5길 76,,서울특별시 종로구청,37.57392263,126.9808916,2021-07-12
경희궁공원,공원면적 전체,서울특별시,종로구,도시공원,서울특별시 종로구 금연환경조성 및 간접흡연 피해방지 조례,100930,100000,02-2148-3544,서울특별시 종로구 새문안로 55,,서울특별시 종로구청,37.57049685,126.9710752,2021-07-12
내수2공원,공원면적 전체,서울특별시,종로구,도시공원,서울특별시 종로구 금연환경조성 및 간접흡연 피해방지 조례,2192.2,100000,02-2148-3544,서울특별시 종로구 새문안로3길 17-5,,서울특별시 종로구청,37.57191705,126.9720536,2021-07-12
