금연구역명,금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
CJ키즈빌어린이집,시설의경계선으로부터 10m 이내,서울특별시,중구,어린이집,서울특별시 중구 간접흡연 피해방지 조례,,100000,02-3396-5672,서울특별시 중구 동호로 330 (쌍림동),,서울특별시 중구청,37.563942,127.0032778,2021-10-21
GKL행복어린이집,시설의경계선으로부터 10m 이내,서울특별시,중구,어린이집,서울특별시 중구 간접흡연 피해방지 조례,,100000,02-3396-5672,서울특별시 중구 한강대로 416,,서울특별시 중구청,37.55550489,126.9737482,2021-10-21
IBK 참좋은어린이집,시설의경계선으로부터 10m 이내,서울특별시,중구,어린이집,서울특별시 중구 간접흡연 피해방지 조례,,100000,02-3396-5672,서울특별시 중구 을지로 82,,서울특별시 중구청,37.56570639,126.9870829,2021-10-21
LG서울역빌딩주변,서울특별시 중구 LG서울역빌딩 주변 230m 거리,서울특별시,중구,거리,서울특별시 중구 간접흡연 피해방지 조례,,100000,02-3396-5672,서울특별시 중구 후암로 98,,서울특별시 중구청,37.55392083,126.9749,2021-10-21
LG서울역어린이집,시설의경계선으로부터 10m 이내,서울특별시,중구,어린이집,서울특별시 중구 간접흡연 피해방지 조례,,100000,02-3396-5672,서울특별시 중구 후암로 98,,서울특별시 중구청,37.5539166,126.9749,2021-10-21
SKT행복날개어린이집,시설의경계선으로부터 10m 이내,서울특별시,중구,어린이집,서울특별시 중구 간접흡연 피해방지 조례,,100000,02-3396-5672,서울특별시 중구 을지로 65,,서울특별시 중구청,37.56648822,126.9851268,2021-10-21
SK네트웍스새싹어린이집,시설의경계선으로부터 10m 이내,서울특별시,중구,어린이집,서울특별시 중구 간접흡연 피해방지 조례,,100000,02-3396-5672,서울특별시 중구 남대문로 90,,서울특별시 중구청,37.5650478,126.9829099,2021-10-21
SK브로드밴드 행복한어린이집,시설의경계선으로부터 10m 이내,서울특별시,중구,어린이집,서울특별시 중구 간접흡연 피해방지 조례,,100000,02-3396-5672,서울특별시 중구 퇴계로 24,,서울특별시 중구청,37.5566035,126.9759532,2021-10-21
T타워~남산트라팰리스 위쪽 도로,서울특별시 중구 T타워~남산트라팰리스 위쪽 도로 86m 거리,서울특별시,중구,거리,서울특별시 중구 간접흡연 피해방지 조례,,100000,02-3396-5672,서울특별시 중구 소월로2길 30,,서울특별시 중구청,37.55399468,126.9756127,2021-10-21
가명어린이집,시설의경계선으로부터 10m 이내,서울특별시,중구,어린이집,서울특별시 중구 간접흡연 피해방지 조례,,100000,02-3396-5672,서울특별시 중구 청파로 447-1,,서울특별시 중구청,37.55915782,126.9669801,2021-10-21
가명유치원,시설의경계선으로부터 10m 이내,서울특별시,중구,유치원,서울특별시 중구 간접흡연 피해방지 조례,,100000,02-3396-5672,서울특별시 중구 청파로 447-1,,서울특별시 중구청,37.55915782,126.9669801,2021-10-21
경기여상입구,버스정류소 승차대로부터 10m이내,서울특별시,중구,가로변버스정류소,서울특별시 중구 간접흡연 피해방지 조례,,100000,02-3396-5672,서울특별시 중구 만리재로 213,,서울특별시 중구청,37.55641534,126.9681888,2021-10-21
경기여자상업고등학교,학교 출입문으로부터 50m 이내,서울특별시,중구,학교절대정화구역,서울특별시 중구 간접흡연 피해방지 조례,,100000,02-3396-5672,서울특별시 중구 만리재로37길 30,,서울특별시 중구청,37.55729791,126.9667217,2021-10-21
경동어린이집,시설의경계선으로부터 10m 이내,서울특별시,중구,어린이집,서울특별시 중구 간접흡연 피해방지 조례,,100000,02-3396-5672,서울특별시 중구 장충단로 204,,서울특별시 중구청,37.56309399,127.0072121,2021-10-21
경찰청,버스정류소 승차대로부터 10m이내,서울특별시,중구,가로변버스정류소,서울특별시 중구 간접흡연 피해방지 조례,,100000,02-3396-5672,서울특별시 중구 통일로 114,,서울특별시 중구청,37.56524143,126.9679315,2021-10-21
"경찰청,국민권익위원회앞",버스정류소 승차대로부터 10m이내,서울특별시,중구,가로변버스정류소,서울특별시 중구 간접흡연 피해방지 조례,,100000,02-3396-5672,서울특별시 중구 통일로 86,,서울특별시 중구청,37.5631047,126.9695714,2021-10-21
계성여자고등학교,학교 출입문으로부터 50m 이내,서울특별시,중구,학교절대정화구역,서울특별시 중구 간접흡연 피해방지 조례,,100000,02-3396-5672,서울특별시 중구 명동길 74-1,,서울특별시 중구청,37.5628448,126.9868525,2021-10-21
광희동,버스정류소 승차대로부터 10m이내,서울특별시,중구,가로변버스정류소,서울특별시 중구 간접흡연 피해방지 조례,,100000,02-3396-5672,서울특별시 중구 장충단로 227-2,,서울특별시 중구청,37.5650906,127.0071806,2021-10-21
광희동,버스정류소 승차대로부터 10m이내,서울특별시,중구,가로변버스정류소,서울특별시 중구 간접흡연 피해방지 조례,,100000,02-3396-5672,서울특별시 중구 장충단로 228-2,,서울특별시 중구청,37.56502928,127.007905,2021-10-21
광희동사거리,버스정류소 승차대로부터 10m이내,서울특별시,중구,가로변버스정류소,서울특별시 중구 간접흡연 피해방지 조례,,100000,02-3396-5672,서울특별시 중구 퇴계로 333-1,,서울특별시 중구청,37.56466522,127.0086837,2021-10-21
광희동사거리,버스정류소 승차대로부터 10m이내,서울특별시,중구,가로변버스정류소,서울특별시 중구 간접흡연 피해방지 조례,,100000,02-3396-5672,서울특별시 중구 퇴계로 344,,서울특별시 중구청,37.56435881,127.0096752,2021-10-21
광희초등학교,학교 출입문으로부터 50m 이내,서울특별시,중구,학교절대정화구역,서울특별시 중구 간접흡연 피해방지 조례,,100000,02-3396-5672,서울특별시 중구 다산로 269,,서울특별시 중구청,37.56729901,127.0156883,2021-10-21
광희초등학교 통학로,학생 통학로 일대 270m 거리,서울특별시,중구,거리,서울특별시 중구 간접흡연 피해방지 조례,,100000,02-3396-5672,서울특별시 중구 다산로 269,,서울특별시 중구청,37.56729928,127.0156879,2021-10-21
