금연구역명,금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
용마도시자연공원,공원 전역,서울특별시,중랑구,공원,서울특별시 중랑구 간접흡연 피해방지 조례 5조 1항 6호,100,100000,02-2094-0864,서울특별시 중랑구 용마산로 250-12,서울특별시 중랑구 면목동 산1-4,서울특별시 중랑구청,37.5733026,127.0891138,2021-05-18
봉화산근린공원,공원 전역,서울특별시,중랑구,공원,서울특별시 중랑구 간접흡연 피해방지 조례 5조 1항 6호,100,100000,02-2094-0864,서울특별시 중랑구 신내로21길 115-14,서울특별시 중랑구 신내동 산144-2,서울특별시 중랑구청,37.6112146,127.0894479,2021-05-18
능산근린공원,공원 전역,서울특별시,중랑구,공원,서울특별시 중랑구 간접흡연 피해방지 조례 5조 1항 6호,100,100000,02-2094-0864,서울특별시 중랑구 신내로,서울특별시 중랑구 신내동 365-2,서울특별시 중랑구청,37.573875,127.090643,2021-05-18
신내어울근린공원,공원 전역,서울특별시,중랑구,공원,서울특별시 중랑구 간접흡연 피해방지 조례 5조 1항 6호,100,100000,02-2094-0864,서울특별시 중랑구 신내로,서울특별시 중랑구 신내동 317-2,서울특별시 중랑구청,37.573875,127.090643,2021-05-18
면목,공원 전역,서울특별시,중랑구,공원,서울특별시 중랑구 간접흡연 피해방지 조례 5조 1항 6호,100,100000,02-2094-0864,서울특별시 중랑구 면목본동 127-33,서울특별시 중랑구 면목본동 127-33,서울특별시 중랑구청,37.573875,127.090643,2021-05-18
양지,공원 전역,서울특별시,중랑구,공원,서울특별시 중랑구 간접흡연 피해방지 조례 5조 1항 6호,100,100000,02-2094-0864,서울특별시 중랑구 면목본동 98-20,서울특별시 중랑구 면목본동 98-20,서울특별시 중랑구청,37.573875,127.090643,2021-05-18
섬들,공원 전역,서울특별시,중랑구,공원,서울특별시 중랑구 간접흡연 피해방지 조례 5조 1항 6호,100,100000,02-2094-0864,서울특별시 중랑구 면목본동 86-3,서울특별시 중랑구 면목본동 86-3,서울특별시 중랑구청,37.573875,127.090643,2021-05-18
겸재,공원 전역,서울특별시,중랑구,공원,서울특별시 중랑구 간접흡연 피해방지 조례 5조 1항 6호,100,100000,02-2094-0864,서울특별시 중랑구 면목본동 70-3,서울특별시 중랑구 면목본동 70-3,서울특별시 중랑구청,37.573875,127.090643,2021-05-18
남촌,공원 전역,서울특별시,중랑구,공원,서울특별시 중랑구 간접흡연 피해방지 조례 5조 1항 6호,100,100000,02-2094-0864,서울특별시 중랑구 면목본동 110-1,서울특별시 중랑구 면목본동 110-1,서울특별시 중랑구청,37.573875,127.090643,2021-05-18
햇살,공원 전역,서울특별시,중랑구,공원,서울특별시 중랑구 간접흡연 피해방지 조례 5조 1항 6호,100,100000,02-2094-0864,서울특별시 중랑구 면목2동 137-14,서울특별시 중랑구 면목2동 137-14,서울특별시 중랑구청,37.573875,127.090643,2021-05-18
