금연구역명,금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
123어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 성현로 80 123동 102호,,서울특별시 관악구보건소,37.489422,126.951809,2020-11-25
24시간연세어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 관악로 246,,서울특별시 관악구보건소,37.486068,126.9570179,2020-11-25
가나어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 당곡6길 16-3 보라매동] (봉천동),,서울특별시 관악구보건소,37.491245,126.928445,2020-11-25
가람어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 국회단지9길 7 가람어린이집 [은천동] (봉천동),,서울특별시 관악구보건소,37.488447,126.940556,2020-11-25
감성아이 어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 인헌길 32-6 (봉천동) [인헌동],,서울특별시 관악구보건소,37.474277,126.966388,2020-11-25
관악구 육아종합지원센터(난향점),시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 난곡로 78 1층,,서울특별시 관악구보건소,37.462443,126.919229,2020-11-25
관악구청직장어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 관악로 145 관악구청 별관 2층 (봉천동) [청룡동],,서울특별시 관악구보건소,37.478084,126.951535,2020-11-25
구립e편한1단지어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 청룡10길 45 서울대입구e편한세상1단지 105동 앞,,서울특별시 관악구보건소,37.479123,126.943897,2020-11-25
구립e편한2단지어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 청룡16길 43 서울대입구e편한세상2단지 206동 앞,,서울특별시 관악구보건소,37.476977,126.943458,2020-11-25
구립강감찬어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 관악로8길 45,,서울특별시 관악구보건소,37.475582,126.955381,2020-11-25
구립건강한어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 관악로 285 성현동아아파트 107-103,,서울특별시 관악구보건소,37.488495,126.957727,2020-11-25
구립관악어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 신림로39길 17,,서울특별시 관악구보건소,37.476526,126.935762,2020-11-25
구립구암어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 구암길 98 1층 구암어린이집 (봉천동) [성현동],,서울특별시 관악구보건소,37.490854,126.947726,2020-11-25
구립금강어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 신림로48길 25 (신림동) [서원동],,서울특별시 관악구보건소,37.47941943,126.933452,2020-11-25
구립금빛어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 남부순환로246가길 17 (봉천동) [인헌동],,서울특별시 관악구보건소,37.47536345,126.9652204,2020-11-25
구립까치산어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 행운10길 21 관악파크푸르지오아파트 102동 1층,,서울특별시 관악구보건소,37.482664,126.961615,2020-11-25
구립꼬꼬마어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 호암로 399 삼성산주공아파트 306-101,,서울특별시 관악구보건소,37.462846,126.927092,2020-11-25
구립꿀송이어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 성현로 80 관악드림타운아파트 106-104,,서울특별시 관악구보건소,37.488161,126.951434,2020-11-25
구립나래어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 관악로30길 27 관악푸르지오아파트 112-102,,서울특별시 관악구보건소,37.488994,126.960618,2020-11-25
구립낙성대어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 관악로12길 58-5 (봉천동) [낙성대동],,서울특별시 관악구보건소,37.47731114,126.955411,2020-11-25
구립난곡어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 난곡로31길 14,,서울특별시 관악구보건소,37.47130742,126.918944,2020-11-25
구립난우어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 난곡로61길 1 (신림동) [미성동],,서울특별시 관악구보건소,37.480378,126.913969,2020-11-25
구립난향어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 난향5길 6,,서울특별시 관악구보건소,37.462717,126.917143,2020-11-25
구립다온어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 남부순환로198길 10 효림다온아파트 101호,,서울특별시 관악구보건소,37.484129,126.936449,2020-11-25
구립다원어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 미성길 127 다원어린이집 (신림동) [미성동],,서울특별시 관악구보건소,37.471719,,2020-11-25
구립당곡어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 낙성대역14길 6 (봉천동) [인헌동],,서울특별시 관악구보건소,37.47390966,126.964251,2020-11-25
구립도담어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 청림3길 37 (봉천동) [청림동],,서울특별시 관악구보건소,37.48971079,126.958391,2020-11-25
구립동산어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 대학14길 56 (신림동) [대학동],,서울특별시 관악구보건소,37.465917,126.9351589,2020-11-25
구립두드림어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 조원로18길 26,,서울특별시 관악구보건소,37.482771,126.9134242,2020-11-25
구립드림타운어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 난곡로 55 관악산휴먼시아아파트 224-103,,서울특별시 관악구보건소,37.458458,,2020-11-25
구립레미안어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 성현로 80 관악드림타운아파트 144-101,,서울특별시 관악구보건소,37.490737,126.948328,2020-11-25
구립마루어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 은천로 93 벽산블루밍아파트 202동 203동 사이,,서울특별시 관악구보건소,37.488671,126.945233,2020-11-25
구립마엘향어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 난곡로35길 60 구립마엘향어린이집,,서울특별시 관악구보건소,37.470684,126.917407,2020-11-25
구립명지어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 관악로30길 27 관악푸르지오아파트 121-104,,서울특별시 관악구보건소,37.485721,126.960935,2020-11-25
구립무지개어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 조원로11길 24 우민조원아파트 101-101,,서울특별시 관악구보건소,37.484219,126.907569,2020-11-25
구립문성어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 시흥대로164길 27 (신림동) [조원동],,서울특별시 관악구보건소,37.48201343,126.9028913,2020-11-25
구립미래클어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 법원단지2길 15-4 (신림동) [난곡동],,서울특별시 관악구보건소,37.473658,126.919815,2020-11-25
구립미림어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 태흥길 4 (신림동) [삼성동],,서울특별시 관악구보건소,37.46639974,126.9309426,2020-11-25
구립반디어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 관악로 133 건영아파트 102-103,,서울특별시 관악구보건소,,126.951756,2020-11-25
구립별이랑어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 낙성대역길 19 동원낙성대아파트 101-106,,서울특별시 관악구보건소,37.476264,126.962091,2020-11-25
구립보라매어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 당곡6길 63,,서울특별시 관악구보건소,37.492856,126.9306437,2020-11-25
구립보람어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 관악로 304 현대아파트 118-101,,서울특별시 관악구보건소,37.492908,126.960432,2020-11-25
구립보물단지어린이집,시설 경계선으로부터 10m이내,서울특별시,관악구,어린이집,국민건강증진법 제9조 제6항,,100000,02-879-7124,서울특별시 관악구 남부순환로230길 94 푸르빌3차아파트 101호,,서울특별시 관악구보건소,37.476103,126.954361,2020-11-25
