금연구역명,금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
광진우체국,시설전체,서울특별시,광진구,공공기관 청사,국민건강증진법 제9조,,100000,02-450-1924,서울특별시 광진구 강변역로 2,서울특별시 광진구 구의동 587,서울특별시 광진구청,37.537735,127.088271,2019-03-13
광진소방서,시설전체,서울특별시,광진구,공공기관 청사,국민건강증진법 제9조,,100000,02-450-1924,서울특별시 광진구 광나루로 480,서울특별시 광진구 구의동253-23,서울특별시 광진구청,37.544928,127.080605,2019-03-13
광진경찰서,시설전체,서울특별시,광진구,공공기관 청사,국민건강증진법 제9조,,100000,02-450-1924,,서울특별시 광진구 구의동 254-32,서울특별시 광진구청,37.542791,127.082264,2019-03-13
광진구 시설관리공단,시설전체,서울특별시,광진구,지방공기업 청사,국민건강증진법 제9조,,100000,02-450-1924,서울특별시 광진구 능동로 76,서울특별시 광진구 자양동 227-344,서울특별시 광진구청,37.537664,127.068381,2019-03-13
광장동 주민자치센터,시설전체,서울특별시,광진구,자치단체 청사,국민건강증진법 제9조,,100000,02-450-1924,서울특별시 광진구 광장로 52,서울특별시 광진구 광장동 248-24,서울특별시 광진구청,37.546845,127.100825,2019-03-13
구의1동 주민자치센터,시설전체,서울특별시,광진구,자치단체 청사,국민건강증진법 제9조,,100000,02-450-1924,서울특별시 광진구 광나루로36길 56,서울특별시 광진구 구의동 237-6,서울특별시 광진구청,37.542456,127.083465,2019-03-13
구의3동 주민자치센터,시설전체,서울특별시,광진구,자치단체 청사,국민건강증진법 제9조,,100000,02-450-1924,서울특별시 광진구 강변역로 17,서울특별시 광진구 구의동 587-29,서울특별시 광진구청,37.538066,127.089692,2019-03-13
구의2동 주민자치센터,시설전체,서울특별시,광진구,자치단체 청사,국민건강증진법 제9조,,100000,02-450-1924,서울특별시 광진구 천호대로136길 55,서울특별시 광진구 구의동 63-7,서울특별시 광진구청,37.547206,127.087715,2019-03-13
군자동 주민자치센터,시설전체,서울특별시,광진구,자치단체 청사,국민건강증진법 제9조,,100000,02-450-1924,서울특별시 광진구 군자로 151,서울특별시 광진구 군자동 53-8,서울특별시 광진구청,37.555121,127.073716,2019-03-13
능동 주민자치센터,시설전체,서울특별시,광진구,자치단체 청사,국민건강증진법 제9조,,100000,02-450-1924,서울특별시 광진구 천호대로112길 55,서울특별시 광진구 능동 232-4,서울특별시 광진구청,37.553733,127.078327,2019-03-13
광진구청,시설전체,서울특별시,광진구,자치단체 청사,국민건강증진법 제9조,,100000,02-450-1924,서울특별시 광진구 자양로 117,서울특별시 광진구 자양1동 777,서울특별시 광진구청,37.538373,127.073453,2019-03-13
