금연구역명,금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
마포소방서,시설전체,서울특별시,마포구,청사,국민건강증진법제9조,,100000,02-3153-9054,서울특별시 마포구 창전로 76,,서울특별시 마포구청,37.549369,126.933179,2019-06-30
신수안전센터,시설전체,서울특별시,마포구,청사,국민건강증진법제9조,,100000,02-3153-9054,서울특별시 마포구 창전로 76,,서울특별시 마포구청,37.549369,126.933179,2019-06-30
염리안전센터(마포소방서),시설전체,서울특별시,마포구,청사,국민건강증진법제9조,,100000,02-3153-9054,서울특별시 마포구 토정로37길 27,,서울특별시 마포구청,37.541731,126.945577,2019-06-30
서교안전센터,시설전체,서울특별시,마포구,청사,국민건강증진법제9조,,100000,02-3153-9054,서울특별시 마포구 양화로 60,,서울특별시 마포구청,37.55028,126.915546,2019-06-30
성산안전센터,시설전체,서울특별시,마포구,청사,국민건강증진법제9조,,100000,02-3153-9054,서울특별시 마포구 월드컵북로 240,,서울특별시 마포구청,37.57061,126.903059,2019-06-30
공덕안전센터,시설전체,서울특별시,마포구,청사,국민건강증진법제9조,,100000,02-3153-9054,서울특별시 마포구 만리재옛길 82,,서울특별시 마포구청,37.550047,126.959765,2019-06-30
상암119안전센터,시설전체,서울특별시,마포구,청사,국민건강증진법제9조,,100000,02-3153-9054,서울특별시 마포구 월드컵로42길 34,,서울특별시 마포구청,37.57992,126.881231,2019-06-30
서울마포우체국,시설전체,서울특별시,마포구,청사,국민건강증진법제9조,,100000,02-3153-9054,서울특별시 마포구 마포대로 25,,서울특별시 마포구청,37.539381,126.944829,2019-06-30
아현동우체국,시설전체,서울특별시,마포구,청사,국민건강증진법제9조,,100000,02-3153-9054,서울특별시 마포구 신촌로 266,,서울특별시 마포구청,37.557079,126.95514,2019-06-30
서강대우체국,시설전체,서울특별시,마포구,청사,국민건강증진법제9조,,100000,02-3153-9054,서울특별시 마포구 백범로 35,,서울특별시 마포구청,37.551503,126.943063,2019-06-30
창전동우체국,시설전체,서울특별시,마포구,청사,국민건강증진법제9조,,100000,02-3153-9054,서울특별시 마포구 상수동 95-7,,서울특별시 마포구청,37.54813,126.925784,2019-06-30
서교동우체국,시설전체,서울특별시,마포구,청사,국민건강증진법제9조,,100000,02-3153-9054,서울특별시 마포구 양화로 62,,서울특별시 마포구청,37.550362,126.915658,2019-06-30
망원동우체국,시설전체,서울특별시,마포구,청사,국민건강증진법제9조,,100000,02-3153-9054,서울특별시 마포구 월드컵로 111,,서울특별시 마포구청,37.558157,126.907916,2019-06-30
성산동우체국,시설전체,서울특별시,마포구,청사,국민건강증진법제9조,,100000,02-3153-9054,서울특별시 마포구 월드컵북로 112,,서울특별시 마포구청,37.563402,126.913873,2019-06-30
성산2동우체국,시설전체,서울특별시,마포구,청사,국민건강증진법제9조,,100000,02-3153-9054,서울특별시 마포구 월드컵북로 227,,서울특별시 마포구청,37.569569,126.903527,2019-06-30
