금연구역명,금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
녹천역 1번 출입구,출입구로 부터 10m,서울특별시,노원구,지하철 출입구,서울특별시 간접흡연 피해방지 조례,,50000,02-2116-4381,서울특별시 노원구 화랑로 341,,서울특별시 노원구청,37.61530468,127.0656478,2021-09-13
월계우남아파트어린이놀이터(102동),시설부지,서울특별시,노원구,어린이 놀이시설,국민건강증진법,,100000,02-2116-4381,서울특별시 노원구 화랑로 355 (월계동),,서울특별시 노원구청,37.61555238,127.0673697,2021-09-13
월계우남아파트어린이놀이터(관리동),시설부지,서울특별시,노원구,어린이 놀이시설,국민건강증진법,,100000,02-2116-4381,서울특별시 노원구 화랑로 355 (월계동),,서울특별시 노원구청,37.61555238,127.0673697,2021-09-13
우이천,"좌안(2.65km) 초안교~석계역 공영주차장 전(제방 상단 도로변 보도 및 데크 포함) ,1구역:좌안(2.35km) 초안교 ~장월교 하류 (등신아파트 집입경사로) ,2구역:좌안(0.3km)보도및테크(동신아파트 앞 하천진입경사로~ 석계역공영주차장 전), 우안(0.16km) 월계472교~복개 시점",서울특별시,노원구,하천변,노원구금연구역지정및간접흡연피해방지에관한조례,,50000,02-2116-4381,서울특별시 노원구 석계로9길 66,,서울특별시 노원구청,37.61581529,127.0610814,2021-09-13
동신아파트 어린이놀이터,시설부지,서울특별시,노원구,어린이 놀이시설,국민건강증진법,,100000,02-2116-4381,서울특별시 노원구 광운로2나길 30 (월계동),,서울특별시 노원구청,37.61615064,127.0607283,2021-09-13
풍림아이원 105동 놀이터,시설부지,서울특별시,노원구,어린이 놀이시설,국민건강증진법,,100000,02-2116-4381,서울특별시 노원구 화랑로47길 38 (월계동),,서울특별시 노원구청,37.61651195,127.0657395,2021-09-13
풍림아이원 108동 놀이터,시설부지,서울특별시,노원구,어린이 놀이시설,국민건강증진법,,100000,02-2116-4381,서울특별시 노원구 화랑로47길 38 (월계동),,서울특별시 노원구청,37.61651195,127.0657395,2021-09-13
월계현대아파트어린이놀이터(111동),시설부지,서울특별시,노원구,어린이 놀이시설,국민건강증진법,,100000,02-2116-4381,"서울특별시 노원구 석계로 49 (월계동, 현대아파트)",,서울특별시 노원구청,37.61722367,127.0625369,2021-09-13
월계현대아파트어린이놀이터(어린이집),시설부지,서울특별시,노원구,어린이 놀이시설,국민건강증진법,,100000,02-2116-4381,"서울특별시 노원구 석계로 49 (월계동, 현대아파트)",,서울특별시 노원구청,37.61722367,127.0625369,2021-09-13
월계현대아파트어린이놀이터(107동),시설부지,서울특별시,노원구,어린이 놀이시설,국민건강증진법,,100000,02-2116-4381,"서울특별시 노원구 석계로 49 (월계동, 현대아파트)",,서울특별시 노원구청,37.61722367,127.0625369,2021-09-13
월계현대아파트어린이놀이터(103동),시설부지,서울특별시,노원구,어린이 놀이시설,국민건강증진법,,100000,02-2116-4381,"서울특별시 노원구 석계로 49 (월계동, 현대아파트)",,서울특별시 노원구청,37.61722367,127.0625369,2021-09-13
태릉입구역 1~8번 출입구,출입구로 부터 10m,서울특별시,노원구,지하철 출입구,서울특별시 간접흡연 피해방지 조례,,50000,02-2116-4381,서울특별시 노원구 동일로 992-1,,서울특별시 노원구청,37.617613,127.075627,2021-09-13
삼창어린이집,시설경계 10m 이내,서울특별시,노원구,"유치원, 어린이집 시설경계 10m",국민건강증진법,,100000,02-2116-4381,서울특별시 노원구 광운로2가길 23 (월계1동 삼창상가 2층),,서울특별시 노원구청,37.61814436,127.0592892,2021-09-13
삼익아파트 관리사무소옆 어린이놀이터,시설부지,서울특별시,노원구,어린이 놀이시설,국민건강증진법,,100000,02-2116-4381,"서울특별시 노원구 섬밭로 17 (공릉동, 삼익아파트)",,서울특별시 노원구청,37.61842899,127.072347,2021-09-13
묵동천,우안(2.5km) 욱사입구~중랑천 합류점),서울특별시,노원구,하천변,노원구금연구역지정및간접흡연피해방지에관한조례,,50000,02-2116-4381,서울특별시 노원구 공릉동 286-13,,서울특별시 노원구청,37.618587,127.0785211,2021-09-13
노원프레미어스엠코 놀이터,시설부지,서울특별시,노원구,어린이 놀이시설,국민건강증진법,,100000,02-2116-4381,"서울특별시 노원구 동일로 986 (공릉동, 노원 프레미어스 엠코)",,서울특별시 노원구청,37.6182161,127.075912,2021-09-13
공릉초등학교,학교출입문으로부터 직선거리 50미터이내,서울특별시,노원구,학교절대정화구역,노원구금연구역지정및간접흡연피해방지에관한조례,,50000,02-2116-4381,서울특별시 노원구 동일로173길 12,,서울특별시 노원구청,37.61861498,127.074602,2021-09-13
공릉초등학교,학교 시설의 경계로부터 10미터 이내,서울특별시,노원구,학교 시설의 경계로부터 10미터 이내,노원구금연구역지정및간접흡연피해방지에관한조례,,50000,02-2116-4381,서울특별시 노원구 동일로173길 12,,서울특별시 노원구청,37.61861498,127.074602,2021-09-13
서울공릉초병설유치원,시설경계 10m 이내,서울특별시,노원구,"유치원, 어린이집 시설경계 10m",국민건강증진법,,100000,02-2116-4381,서울특별시 노원구 동일로173길 12(공릉동),,서울특별시 노원구청,37.61861498,127.0746307,2021-09-13
월계삼창아파트 A동 놀이터,시설부지,서울특별시,노원구,어린이 놀이시설,국민건강증진법,,100000,02-2116-4381,"서울특별시 노원구 광운로2나길 50 (월계동, 삼창아파트)",,서울특별시 노원구청,37.61869179,127.0600055,2021-09-13
월계삼창아파트 B동 놀이터,시설부지,서울특별시,노원구,어린이 놀이시설,국민건강증진법,,100000,02-2116-4381,"서울특별시 노원구 광운로2나길 50 (월계동, 삼창아파트)",,서울특별시 노원구청,37.61869179,127.0600055,2021-09-13
선곡초등학교,학교출입문으로부터 직선거리 50미터이내,서울특별시,노원구,학교절대정화구역,노원구금연구역지정및간접흡연피해방지에관한조례,,50000,02-2116-4381,서울특별시 노원구 광운로2길 1,,서울특별시 노원구청,37.61869289,127.0578035,2021-09-13
