금연구역명,금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
KTDS서초어린이집,건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도,서울특별시,서초구,어린이집,서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호),10,100000,02-2155-8176,서울특별시 서초구 효령로 176(방배동),서울특별시 서초구 방배동 1001-1,서초구보건소 건강정책과,37.4821697,127.0036406,2021-10-14
KT연구개발센터꿈나무어린이집,건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도,서울특별시,서초구,어린이집,서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호),10,100000,02-2155-8176,서울특별시 서초구 태봉로 151(우면동),서울특별시 서초구 우면동 17,서초구보건소 건강정책과,37.47131074,127.0293604,2021-10-14
LG전자강남센터어린이집,건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도,서울특별시,서초구,어린이집,서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호),10,100000,02-2155-8176,서울특별시 서초구 강남대로37길 43(서초동),서울특별시 서초구 서초동 1365-8,서초구보건소 건강정책과,37.48465966,127.0310707,2021-10-14
가나안샘터어린이집,건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도,서울특별시,서초구,어린이집,서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호),10,100000,02-2155-8176,"서울특별시 서초구 주흥17길 19 101호(반포동, 써니힐아파트 )",서울특별시 서초구 반포동 701-31,서초구보건소 건강정책과,37.50910854,127.0175989,2021-10-14
경기 몬테소리어린이집,건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도,서울특별시,서초구,어린이집,서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호),10,100000,02-2155-8176,서울특별시 서초구 서리풀4길 15-5 (서초동),서울특별시 서초구 서초동 1613-19,서초구보건소 건강정책과,37.48835235,127.0213344,2021-10-14
고은아이어린이집,건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도,서울특별시,서초구,어린이집,서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호),10,100000,02-2155-8176,"서울특별시 서초구 신반포로33길 15 105동 101호(잠원동, 동아아파트)",서울특별시 서초구 잠원동 157,서초구보건소 건강정책과,37.5090446,127.0095233,2021-10-14
구립서초사랑어린이집,건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도,서울특별시,서초구,어린이집,서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호),10,100000,02-2155-8176,서울특별시 서초구 잠원로 213-3(잠원동),서울특별시 서초구 잠원동 49-25,서초구보건소 건강정책과,37.52055888,127.0148324,2021-10-14
국립중앙도서관책사랑어린이집,건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도,서울특별시,서초구,어린이집,서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호),10,100000,02-2155-8176,서울특별시 서초구 반포대로 201 국립중앙도서관(반포동),서울특별시 서초구 반포동 산60-1,서초구보건소 건강정책과,37.49742197,127.0032297,2021-10-14
근하어린이집,건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도,서울특별시,서초구,어린이집,서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호),10,100000,02-2155-8176,서울특별시 서초구 언남9길 7-11(양재동),서울특별시 서초구 양재동 255-2,서초구보건소 건강정책과,37.47331784,127.0423754,2021-10-14
기쁜어린이집,건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도,서울특별시,서초구,어린이집,서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호),10,100000,02-2155-8176,서울특별시 서초구 바우뫼로9길 22-8(우면동),서울특별시 서초구 우면동 50-5,서초구보건소 건강정책과,37.47259807,127.0264533,2021-10-14
