금연구역명,금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
남가좌파출소,건물 및 부지,서울특별시,서대문구,청사,국민건강 증진법,,100000,02-330-8590,서울특별시 서대문구 가재울로4길 51,,서울특별시 서대문구청,37.57603748,126.9240369,2021-05-10
남가좌1동 주민센터,건물 및 부지,서울특별시,서대문구,청사,국민건강 증진법,,100000,02-330-8590,서울특별시 서대문구 모래내로15길 37,,서울특별시 서대문구청,37.57327747,126.9197748,2021-05-10
남가좌2동 주민센터,건물 및 부지,서울특별시,서대문구,청사,국민건강 증진법,,100000,02-330-8590,서울특별시 서대문구 증가로10길 28,,서울특별시 서대문구청,37.57843268,126.9238666,2021-05-10
정담은 푸드마켓,건물 및 부지,서울특별시,서대문구,청사,국민건강 증진법,,100000,02-330-8590,서울특별시 서대문구 독립문로 50,,서울특별시 서대문구청,37.56792934,126.9624708,2021-05-10
신촌동 주민센터,건물 및 부지,서울특별시,서대문구,청사,국민건강 증진법,,100000,02-330-8590,서울특별시 서대문구 이화여대길 92-8,,서울특별시 서대문구청,37.55954386,126.943504,2021-05-10
신촌지구대,건물 및 부지,서울특별시,서대문구,청사,국민건강 증진법,,100000,02-330-8590,서울특별시 서대문구 신촌역로 22,,서울특별시 서대문구청,37.55854829,126.9430087,2021-05-10
서부교육지원청,건물 및 부지,서울특별시,서대문구,청사,국민건강 증진법,,100000,02-330-8590,서울특별시 서대문구 이화여대2길 15,,서울특별시 서대문구청,37.55755497,126.946803,2021-05-10
서울특별시서부교육지원청,건물 및 부지,서울특별시,서대문구,청사,국민건강 증진법,,100000,02-330-8590,서울특별시 서대문구 이화여대2길 15,,서울특별시 서대문구청,37.55755497,126.946803,2021-05-10
신촌우체국,건물 및 부지,서울특별시,서대문구,청사,국민건강 증진법,,100000,02-330-8590,서울특별시 서대문구 신촌로161,,서울특별시 서대문구청,37.55694322,126.9438802,2021-05-10
서대문경찰서,건물 및 부지,서울특별시,서대문구,청사,국민건강 증진법,,100000,02-330-8590,서울특별시 서대문구 통일로 113,,서울특별시 서대문구청,37.56508631,126.9670719,2021-05-10
서대문소방서 미근119,건물 및 부지,서울특별시,서대문구,청사,국민건강 증진법,,100000,02-330-8590,서울특별시 서대문구 통일로 113,,서울특별시 서대문구청,37.56508631,126.9670719,2021-05-10
경찰청,건물 및 부지,서울특별시,서대문구,청사,국민건강 증진법,,100000,02-330-8590,서울특별시 서대문구 통일로 97,,서울특별시 서대문구청,37.56421062,126.9668803,2021-05-10
국민권익위원회,건물 및 부지,서울특별시,서대문구,청사,국민건강 증진법,,100000,02-330-8590,서울특별시 서대문구 통일로 87,,서울특별시 서대문구청,37.56277425,126.9685187,2021-05-10
모래내우체국,건물 및 부지,서울특별시,서대문구,청사,국민건강 증진법,,100000,02-330-8590,서울특별시 서대문구 거북골로 160,,서울특별시 서대문구청,37.57608434,126.9124209,2021-05-10
북가좌2동 주민센터,건물 및 부지,서울특별시,서대문구,청사,국민건강 증진법,,100000,02-330-8590,서울특별시 서대문구 응암로1길 10,,서울특별시 서대문구청,37.5814881,126.9111763,2021-05-10
KT전화국(가좌지점),건물 및 부지,서울특별시,서대문구,청사,국민건강 증진법,,100000,02-330-8590,서울특별시 서대문구 응암로 121,,서울특별시 서대문구청,37.58372737,126.9136459,2021-05-10
서대문구 선거관리위원회,건물 및 부지,서울특별시,서대문구,청사,국민건강 증진법,,100000,02-330-8590,서울특별시 서대문구 응암로 121,,서울특별시 서대문구청,37.58372737,126.9136459,2021-05-10
건강가정 지원센터,건물 및 부지,서울특별시,서대문구,청사,국민건강 증진법,,100000,02-330-8590,서울특별시 서대문구 증가로 244,,서울특별시 서대문구청,37.58299045,126.9128754,2021-05-10
북가좌파출소,건물 및 부지,서울특별시,서대문구,청사,국민건강 증진법,,100000,02-330-8590,서울특별시 서대문구 증가로 244,,서울특별시 서대문구청,37.58299045,126.9128754,2021-05-10
서대문소방서북가좌119안전센터,건물 및 부지,서울특별시,서대문구,청사,국민건강 증진법,,100000,02-330-8590,서울특별시 서대문구 증가로 242,,서울특별시 서대문구청,37.58286546,126.9130017,2021-05-10
북가좌1동 주민센터,건물 및 부지,서울특별시,서대문구,청사,국민건강 증진법,,100000,02-330-8590,서울특별시 서대문구 수색로100-55,,서울특별시 서대문구청,37.57436849,126.9101941,2021-05-10
북아현치안센터,건물 및 부지,서울특별시,서대문구,청사,국민건강 증진법,,100000,02-330-8590,서울특별시 서대문구 북아현로 59-1,,서울특별시 서대문구청,37.56246057,126.9553704,2021-05-10
