금연구역명,금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
성북,공원전체,서울특별시,성북구,도시공원,서울특별시 성북구 금연환경조성및지원에관한 조례,,100000,02-2241-5942,,서울특별시 성북구 돈암동 606,성북구보건소,37.600528,127.023636,2021-09-13
오동,공원전체,서울특별시,성북구,도시공원,서울특별시 성북구 금연환경조성및지원에관한 조례,,100000,02-2241-5942,서울특별시 성북구 화랑로13가길 100 (하월곡동),서울특별시 성북구 하월곡동 산2-1,성북구보건소,37.610608,127.0404146,2021-09-13
개운산,공원전체,서울특별시,성북구,도시공원,서울특별시 성북구 금연환경조성및지원에관한 조례,,100000,02-2241-5942,서울특별시 성북구 북악산로 949-73 (돈암동),서울특별시 성북구 돈암동 산6-1,성북구보건소,37.59720671,127.0257184,2021-09-13
청량,공원전체,서울특별시,성북구,도시공원,서울특별시 성북구 금연환경조성및지원에관한 조례,,100000,02-2241-5942,,서울특별시 성북구 석관동 산1-5,성북구보건소,37.604661,127.056385,2021-09-13
모랫말,공원전체,서울특별시,성북구,도시공원,서울특별시 성북구 금연환경조성및지원에관한 조례,,100000,02-2241-5942,,서울특별시 성북구 하월곡동 90-206,성북구보건소,37.604825,127.032787,2021-09-13
삼선,공원전체,서울특별시,성북구,도시공원,서울특별시 성북구 금연환경조성및지원에관한 조례,,100000,02-2241-5942,서울특별시 성북구 삼선교로4길 147 (삼선동1가),서울특별시 성북구 삼선동1가 303,성북구보건소,37.581748,127.009176,2021-09-13
범바위,공원전체,서울특별시,성북구,도시공원,서울특별시 성북구 금연환경조성및지원에관한 조례,,100000,02-2241-5942,,서울특별시 성북구 안암동2가 140-3,성북구보건소,37.585257,127.021534,2021-09-13
꿈나라,공원전체,서울특별시,성북구,도시공원,서울특별시 성북구 금연환경조성및지원에관한 조례,,100000,02-2241-5942,,서울특별시 성북구 보문동7가 108-2,성북구보건소,37.580024,127.023018,2021-09-13
배밭골,공원전체,서울특별시,성북구,도시공원,서울특별시 성북구 금연환경조성및지원에관한 조례,263,100000,02-2241-5942,,서울특별시 성북구 정릉3동 895-2,성북구보건소,37.607761,126.998946,2021-09-13
동산,공원전체,서울특별시,성북구,도시공원,서울특별시 성북구 금연환경조성및지원에관한 조례,417,100000,02-2241-5942,,서울특별시 성북구 하월곡동 96-165,성북구보건소,37.606265,127.034528,2021-09-13
밤골,공원전체,서울특별시,성북구,도시공원,서울특별시 성북구 금연환경조성및지원에관한 조례,600,100000,02-2241-5942,서울특별시 성북구 화랑로13가길 17-8 (하월곡동),서울특별시 성북구 하월곡동 산2-140,성북구보건소,37.607541,127.039921,2021-09-13
햇살,공원전체,서울특별시,성북구,도시공원,서울특별시 성북구 금연환경조성및지원에관한 조례,300,100000,02-2241-5942,서울특별시 성북구 월곡로18가길 17-1 (하월곡동),서울특별시 성북구 상월곡동 97-37,성북구보건소,37.60242021,127.0428155,2021-09-13
향기,공원전체,서울특별시,성북구,도시공원,서울특별시 성북구 금연환경조성및지원에관한 조례,,100000,02-2241-5942,서울특별시 성북구 장월로3길 47 (상월곡동),서울특별시 성북구 상월곡동 산1-1,성북구보건소,37.60920214,127.045461,2021-09-13
동방,공원전체,서울특별시,성북구,도시공원,서울특별시 성북구 금연환경조성및지원에관한 조례,982,100000,02-2241-5942,,서울특별시 성북구 장위1동 219-223,성북구보건소,37.616598,127.043486,2021-09-13
샛별,공원전체,서울특별시,성북구,도시공원,서울특별시 성북구 금연환경조성및지원에관한 조례,,100000,02-2241-5942,,서울특별시 성북구 석관동 168-86,성북구보건소,37.614016,127.064186,2021-09-13
돌뫼,공원전체,서울특별시,성북구,도시공원,서울특별시 성북구 금연환경조성및지원에관한 조례,350,100000,02-2241-5942,,서울특별시 성북구 석관동 산1-77,성북구보건소,37.605054,127.052698,2021-09-13
새소리,공원전체,서울특별시,성북구,도시공원,서울특별시 성북구 금연환경조성및지원에관한 조례,,100000,02-2241-5942,,서울특별시 성북구 돈암1동 626-2,성북구보건소,37.600751,127.025382,2021-09-13
종암,공원전체,서울특별시,성북구,도시공원,서울특별시 성북구 금연환경조성및지원에관한 조례,,100000,02-2241-5942,,서울특별시 성북구 종암동 104-6,성북구보건소,37.600081,127.037198,2021-09-13
솔향기,공원전체,서울특별시,성북구,도시공원,서울특별시 성북구 금연환경조성및지원에관한 조례,,100000,02-2241-5942,,서울특별시 성북구 길음1동 1190,성북구보건소,37.608108,127.021295,2021-09-13
해맑은,공원전체,서울특별시,성북구,도시공원,서울특별시 성북구 금연환경조성및지원에관한 조례,,100000,02-2241-5942,,서울특별시 성북구 길음1동 591-17,성북구보건소,37.608493,127.020925,2021-09-13
한울,공원전체,서울특별시,성북구,도시공원,서울특별시 성북구 금연환경조성및지원에관한 조례,,100000,02-2241-5942,,서울특별시 성북구 정릉2동 169-6,성북구보건소,37.605709,127.013686,2021-09-13
솔숲,공원전체,서울특별시,성북구,도시공원,서울특별시 성북구 금연환경조성및지원에관한 조례,,100000,02-2241-5942,,서울특별시 성북구 정릉1동 170-10,성북구보건소,37.604746,127.014971,2021-09-13
