금연구역명,금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
견우어린이공원,표지판에 표시된 공원의 경계선 안,서울특별시,성동구,도시공원,성동구간접흡연피해방지조례 제5조,1500,100000,02-2286-7032,,서울특별시 성동구 상왕십리 315,서울특별시 성동구보건소,37.566445,127.024892,2021-09-30
경동유치원,학교시설전체 및 학교출입구로부터 50m이내,서울특별시,성동구,학교,"국민건강증진법 제9조, 성동구간접흡연피해방지조례 제5조",,100000,02-2286-7032,서울특별시 성동구 금호동1가 금호로 100 벽산아파트 유치원,서울특별시 성동구 금호동1가 633,서울특별시 성동구보건소,37.55453176,127.0260923,2021-09-30
경수중학교,학교시설전체 및 학교출입구로부터 50m이내,서울특별시,성동구,학교,"국민건강증진법 제9조, 성동구간접흡연피해방지조례 제5조",,100000,02-2286-7032,서울특별시 성동구 뚝섬로 13길 14,,서울특별시 성동구보건소,37.53950922,127.0592721,2021-09-30
경일고등학교,학교시설전체 및 학교출입구로부터 50m이내,서울특별시,성동구,학교,"국민건강증진법 제9조, 성동구간접흡연피해방지조례 제5조",,100000,02-2286-7032,서울특별시 성동구 성수일로 27,,서울특별시 성동구보건소,37.54382838,127.0478694,2021-09-30
경일고등학교 통학로,경일고 주변 통학로,서울특별시,성동구,거리,성동구간접흡연피해방지조례 제5조,,100000,02-2286-7032,서울특별시 성동구 뚝섬로1길,서울특별시 성동구 성수동1가 22-16,서울특별시 성동구보건소,37.54423442,127.0469557,2021-09-30
경일중학교,학교시설전체 및 학교출입구로부터 50m이내,서울특별시,성동구,학교,"국민건강증진법 제9조, 성동구간접흡연피해방지조례 제5조",,100000,02-2286-7032,서울특별시 성동구 성수일로 27,,서울특별시 성동구보건소,37.54382838,127.0478694,2021-09-30
광희중학교,학교시설전체 및 학교출입구로부터 50m이내,서울특별시,성동구,학교,"국민건강증진법 제9조, 성동구간접흡연피해방지조례 제5조",,100000,02-2286-7032,서울특별시 성동구 독서당로62길 46,,서울특별시 성동구보건소,37.5511529,127.0339817,2021-09-30
금남소공원,표지판에 표시된 공원의 경계선 안,서울특별시,성동구,도시공원,성동구간접흡연피해방지조례 제5조,834,100000,02-2286-7032,,서울특별시 성동구 금호3가 701,서울특별시 성동구보건소,37.549258,127.021689,2021-09-30
금동어린이공원,표지판에 표시된 공원의 경계선 안,서울특별시,성동구,도시공원,성동구간접흡연피해방지조례 제5조,2591,100000,02-2286-7032,,서울특별시 성동구 금호2가 1218,서울특별시 성동구보건소,37.551818,127.020367,2021-09-30
금옥소공원,표지판에 표시된 공원의 경계선 안,서울특별시,성동구,도시공원,성동구간접흡연피해방지조례 제5조,1230,100000,02-2286-7032,,서울특별시 성동구 금호2가 1213,서울특별시 성동구보건소,37.553191,127.020801,2021-09-30
금호고등학교,학교시설전체 및 학교출입구로부터 50m이내,서울특별시,성동구,학교,"국민건강증진법 제9조, 성동구간접흡연피해방지조례 제5조",,100000,02-2286-7032,서울특별시 성동구 금호로 118(금호동1가 339),,서울특별시 성동구보건소,37.5536206,127.023435,2021-09-30
금호근린공원,표지판에 표시된 공원의 경계선 안,서울특별시,성동구,도시공원,성동구간접흡연피해방지조례 제5조,,100000,02-2286-7032,,서울특별시 성동구 금호3가동 1266,서울특별시 성동구보건소,37.550344,127.018659,2021-09-30
금호산근린공원,표지판에 표시된 공원의 경계선 안,서울특별시,성동구,도시공원,성동구간접흡연피해방지조례 제5조,,100000,02-2286-7032,,서울특별시 성동구 금호2가 산9-1,서울특별시 성동구보건소,37.557285,127.018205,2021-09-30
금호유치원,학교시설전체 및 학교출입구로부터 50m이내,서울특별시,성동구,학교,"국민건강증진법 제9조, 성동구간접흡연피해방지조례 제5조",,100000,02-2286-7032,서울특별시 성동구 금호동3가 금호산2길 35 .,서울특별시 성동구 금호동3가 165-1,서울특별시 성동구보건소,37.54879194,127.023112,2021-09-30
꽃재어린이공원,표지판에 표시된 공원의 경계선 안,서울특별시,성동구,도시공원,성동구간접흡연피해방지조례 제5조,2810,100000,02-2286-7032,,서울특별시 성동구 하왕십리 560,서울특별시 성동구보건소,37.567709,127.028316,2021-09-30
논골새싹어린이공원,표지판에 표시된 공원의 경계선 안,서울특별시,성동구,도시공원,성동구간접흡연피해방지조례 제5조,2837.1,100000,02-2286-7032,,서울특별시 성동구 행당2동 347-2,서울특별시 성동구보건소,37.556764,127.024961,2021-09-30
달맞이근린공원,표지판에 표시된 공원의 경계선 안,서울특별시,성동구,도시공원,성동구간접흡연피해방지조례 제5조,,100000,02-2286-7032,,서울특별시 성동구 옥수동 산 1-1,서울특별시 성동구보건소,37.54393004,127.0203002,2021-09-30
대현산근린공원,표지판에 표시된 공원의 경계선 안,서울특별시,성동구,도시공원,성동구간접흡연피해방지조례 제5조,,100000,02-2286-7032,,서울특별시 성동구 금호1가 산37-1,서울특별시 성동구보건소,37.554544,127.027614,2021-09-30
덕수고등학교,학교시설전체 및 학교출입구로부터 50m이내,서울특별시,성동구,학교,"국민건강증진법 제9조, 성동구간접흡연피해방지조례 제5조",,100000,02-2286-7032,서울특별시 성동구 왕십리로 199,,서울특별시 성동구보건소,37.55526278,127.0411407,2021-09-30
도선고등학교,학교시설전체 및 학교출입구로부터 50m이내,서울특별시,성동구,학교,"국민건강증진법 제9조, 성동구간접흡연피해방지조례 제5조",,100000,02-2286-7032,서울특별시 성동구 마장로 156(하왕십리동 533),,서울특별시 성동구보건소,37.56684287,127.0269937,2021-09-30
도선어린이공원,표지판에 표시된 공원의 경계선 안,서울특별시,성동구,도시공원,성동구간접흡연피해방지조례 제5조,2332.5,100000,02-2286-7032,,서울특별시 성동구 홍익동 369,서울특별시 성동구보건소,37.56550342,127.031407,2021-09-30
도장골소공원,표지판에 표시된 공원의 경계선 안,서울특별시,성동구,도시공원,성동구간접흡연피해방지조례 제5조,678.3,100000,02-2286-7032,,서울특별시 성동구 행당동 346-2,서울특별시 성동구보건소,37.554651,,2021-09-30
동마장어린이공원,표지판에 표시된 공원의 경계선 안,서울특별시,성동구,도시공원,성동구간접흡연피해방지조례 제5조,1090.9,100000,02-2286-7032,,서울특별시 성동구 마장동780-1,서울특별시 성동구보건소,37.56622804,127.0456969,2021-09-30
동마중학교,학교시설전체 및 학교출입구로부터 50m이내,서울특별시,성동구,학교,"국민건강증진법 제9조, 성동구간접흡연피해방지조례 제5조",,100000,02-2286-7032,서울특별시 성동구 마조로 11길 18,,서울특별시 성동구보건소,37.5628026,127.0403012,2021-09-30
동부소공원,표지판에 표시된 공원의 경계선 안,서울특별시,성동구,도시공원,성동구간접흡연피해방지조례 제5조,251,100000,02-2286-7032,,서울특별시 성동구 성수동1가 656-1735,서울특별시 성동구보건소,37.544952,127.047468,2021-09-30
로사유치원,학교시설전체 및 학교출입구로부터 50m이내,서울특별시,성동구,학교,"국민건강증진법 제9조, 성동구간접흡연피해방지조례 제5조",,100000,02-2286-7032,서울특별시 성동구 성수동1가 성덕정길 23 성수동천주교회,서울특별시 성동구 성수동1가 656-2,서울특별시 성동구보건소,37.53947916,127.0462964,2021-09-30
마장어린이공원,표지판에 표시된 공원의 경계선 안,서울특별시,성동구,도시공원,성동구간접흡연피해방지조례 제5조,911,100000,02-2286-7032,,서울특별시 성동구 마장동399-102,서울특별시 성동구보건소,37.563158,127.041207,2021-09-30
마장중학교,학교시설전체 및 학교출입구로부터 50m이내,서울특별시,성동구,학교,"국민건강증진법 제9조, 성동구간접흡연피해방지조례 제5조",,100000,02-2286-7032,서울특별시 성동구 마장로 35나길 31,,서울특별시 성동구보건소,37.56830886,127.0421258,2021-09-30
마장체육체육공원,표지판에 표시된 공원의 경계선 안,서울특별시,성동구,도시공원,성동구간접흡연피해방지조례 제5조,2815.6,100000,02-2286-7032,,서울특별시 성동구 마장동 832,서울특별시 성동구보건소,37.566086,127.038835,2021-09-30
매봉산근린공원,표지판에 표시된 공원의 경계선 안,서울특별시,성동구,도시공원,성동구간접흡연피해방지조례 제5조,417284.8,100000,02-2286-7032,,서울특별시 성동구 옥수동 428-6,서울특별시 성동구보건소,37.546154,,2021-09-30
매봉소공원,표지판에 표시된 공원의 경계선 안,서울특별시,성동구,도시공원,성동구간접흡연피해방지조례 제5조,2006.7,100000,02-2286-7032,,서울특별시 성동구 옥수동 561-1,서울특별시 성동구보건소,37.545168,127.012155,2021-09-30
무지개어린이공원,표지판에 표시된 공원의 경계선 안,서울특별시,성동구,도시공원,성동구간접흡연피해방지조례 제5조,2143,100000,02-2286-7032,,서울특별시 성동구 성수2가1동 844,서울특별시 성동구보건소,37.541891,127.053123,2021-09-30
