금연구역명,금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
고려한의원,시설전체,서울특별시,송파구,의료기관,국민건강증진법 제9조,,100000,02-2147-3498,"서울특별시 송파구 새말로8길 29, 2층 (문정동)",,서울특별시 송파구청,37.48010852,127.1269496,2021-02-17
서울휘안과의원,시설전체,서울특별시,송파구,의료기관,국민건강증진법 제9조,,100000,02-2147-3498,"서울특별시 송파구 새말로8길 27, 6층 (문정동, 봉의빌딩)",,서울특별시 송파구청,37.48026421,127.1269494,2021-02-17
신세계치과의원,시설전체,서울특별시,송파구,의료기관,국민건강증진법 제9조,,100000,02-2147-3498,"서울특별시 송파구 새말로8길 27, 4층 (문정동, 봉의빌딩)",,서울특별시 송파구청,37.48026421,127.1269494,2021-02-17
모정한의원,시설전체,서울특별시,송파구,의료기관,국민건강증진법 제9조,,100000,02-2147-3498,"서울특별시 송파구 새말로 120, 2층 201호 (문정동, 화애빌딩)",,서울특별시 송파구청,37.48273894,127.1275208,2021-02-17
김민성치과의원,시설전체,서울특별시,송파구,의료기관,국민건강증진법 제9조,,100000,02-2147-3498,"서울특별시 송파구 새말로 125, 4층 402호 (문정동, 어은회관)",,서울특별시 송파구청,37.48310606,127.1278868,2021-02-17
문정경희한의원,시설전체,서울특별시,송파구,의료기관,국민건강증진법 제9조,,100000,02-2147-3498,"서울특별시 송파구 송이로36길 68, 4층 (문정동)",,서울특별시 송파구청,37.48341023,127.126563,2021-02-17
연세가정의학과의원,시설전체,서울특별시,송파구,의료기관,국민건강증진법 제9조,,100000,02-2147-3498,"서울특별시 송파구 새말로 136, 201호 (문정동, 대명빌딩)",,서울특별시 송파구청,37.4830995,127.1291201,2021-02-17
닥터진힐링정신건강의학과의원,시설전체,서울특별시,송파구,의료기관,국민건강증진법 제9조,,100000,02-2147-3498,"서울특별시 송파구 송이로 200, 2층 (문정동, 대진빌딩)",,서울특별시 송파구청,37.49000047,127.1279802,2021-02-17
서울조영민치과의원,시설전체,서울특별시,송파구,의료기관,국민건강증진법 제9조,,100000,02-2147-3498,서울특별시 송파구 송이로 198-1 (문정동),,서울특별시 송파구청,37.49012674,127.1278657,2021-02-17
김필규한의원,시설전체,서울특별시,송파구,의료기관,국민건강증진법 제9조,,100000,02-2147-3498,"서울특별시 송파구 가락로36길 5 (방이동,2층)",,서울특별시 송파구청,37.50988745,127.1186796,2021-02-17
경희삼대한의원,시설전체,서울특별시,송파구,의료기관,국민건강증진법 제9조,,100000,02-2147-3498,"서울특별시 송파구 가락로 248 (방이동,(2층))",,서울특별시 송파구청,37.51007979,127.1183472,2021-02-17
김진섭정형외과의원,시설전체,서울특별시,송파구,의료기관,국민건강증진법 제9조,,100000,02-2147-3498,"서울특별시 송파구 위례성대로 136 (방이동, 지하1,1,3,4,5층)",,서울특별시 송파구청,37.5119629,127.1264999,2021-02-17
