금연구역명,금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
아랫말(어린이공원),공원 전체,서울특별시,양천구,금연공원,서울특별시 양천구 간접흡연 방지 조례 제5조,947.7,100000,02-2620-3899,서울특별시 양천구 오목로46길 9,서울특별시 양천구 신정4동 990-1,서울특별시 양천구청,37.524907,126.8619184,2021-04-30
오구(어린이공원),공원 전체,서울특별시,양천구,금연공원,서울특별시 양천구 간접흡연 방지 조례 제5조,738.4,100000,02-2620-3899,,서울특별시 양천구 신정4동 888-1,서울특별시 양천구청,37.527305,126.844402,2021-04-30
앞산(어린이공원),공원 전체,서울특별시,양천구,금연공원,서울특별시 양천구 간접흡연 방지 조례 제5조,1050.5,100000,02-2620-3899,서울특별시 양천구 중앙로52길 73,서울특별시 양천구 신정4동 910-9,서울특별시 양천구청,37.526421,126.8586177,2021-04-30
음골(어린이공원),공원 전체,서울특별시,양천구,금연공원,서울특별시 양천구 간접흡연 방지 조례 제5조,995.4,100000,02-2620-3899,,서울특별시 양천구 신정4동 936-13,서울특별시 양천구청,37.527394,126.833677,2021-04-30
동개울(어린이공원),공원 전체,서울특별시,양천구,금연공원,서울특별시 양천구 간접흡연 방지 조례 제5조,991.2,100000,02-2620-3899,,서울특별시 양천구 신정4동 876-1,서울특별시 양천구청,,126.838955,2021-04-30
홍익(어린이공원),공원 전체,서울특별시,양천구,금연공원,서울특별시 양천구 간접흡연 방지 조례 제5조,990.8,100000,02-2620-3899,,서울특별시 양천구 신정4동 896-22,서울특별시 양천구청,37.528571,126.844711,2021-04-30
진주(어린이공원),공원 전체,서울특별시,양천구,금연공원,서울특별시 양천구 간접흡연 방지 조례 제5조,940.5,100000,02-2620-3899,,서울특별시 양천구 신정4동 920-3,서울특별시 양천구청,37.526548,126.837492,2021-04-30
꿈동산(어린이공원),공원 전체,서울특별시,양천구,금연공원,서울특별시 양천구 간접흡연 방지 조례 제5조,3730.1,100000,02-2620-3899,,서울특별시 양천구 신정6동 314-1,서울특별시 양천구청,37.521941,126.849954,2021-04-30
다람쥐(어린이공원),공원 전체,서울특별시,양천구,금연공원,서울특별시 양천구 간접흡연 방지 조례 제5조,2265.5,100000,02-2620-3899,,서울특별시 양천구 신정6동 327-1,서울특별시 양천구청,37.513515,126.848519,2021-04-30
까치(어린이공원),공원 전체,서울특별시,양천구,금연공원,서울특별시 양천구 간접흡연 방지 조례 제5조,2149.8,100000,02-2620-3899,,서울특별시 양천구 신정6동 328-1,서울특별시 양천구청,37.514993,126.850811,2021-04-30
