금연구역명,금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
푸른나라(사립),건물경계선으로부터 10m이내 보차도,서울특별시,영등포구,유치원 및 어린이집 전체,서울특별시 영등포구 고시 제2014-18호,,100000,02-2670-4895,서울특별시 영등포구 당산동4가 37(당산로 35길 3),서울특별시 영등포구 당산동4가 37번지,서울특별시 영등포구청,37.52879595,126.8971202,2020-09-21
평화(사립),건물경계선으로부터 10m이내 보차도,서울특별시,영등포구,유치원 및 어린이집 전체,서울특별시 영등포구 고시 제2014-18호,,100000,02-2670-4895,서울특별시 영등포구 당산동5가 7-54(선유동 2로 40),서울특별시 영등포구 당산동5가 7-54번지,서울특별시 영등포구청,37.5323817,126.8968027,2020-09-21
평강(사립),건물경계선으로부터 10m이내 보차도,서울특별시,영등포구,유치원 및 어린이집 전체,서울특별시 영등포구 고시 제2014-18호,,100000,02-2670-4895,서울특별시 영등포구 대림1동 912-46(신길로 27),서울특별시 영등포구 대림동 912-46번지,서울특별시 영등포구청,37.49493054,126.9081536,2020-09-21
파랑새(사립),건물경계선으로부터 10m이내 보차도,서울특별시,영등포구,유치원 및 어린이집 전체,서울특별시 영등포구 고시 제2014-18호,,100000,02-2670-4895,서울특별시 영등포구 대림동 670-1(가마산로 384),서울특별시 영등포구 대림동 670-1번지,서울특별시 영등포구청,37.50238765,126.9002607,2020-09-21
파란나라(사립),건물경계선으로부터 10m이내 보차도,서울특별시,영등포구,유치원 및 어린이집 전체,서울특별시 영등포구 고시 제2014-18호,,100000,02-2670-4895,서울특별시 영등포구 대림동 652,서울특별시 영등포구 대림동 652번지,서울특별시 영등포구청,37.50323899,126.8968522,2020-09-21
큰나무(사립),건물경계선으로부터 10m이내 보차도,서울특별시,영등포구,유치원 및 어린이집 전체,서울특별시 영등포구 고시 제2014-18호,,100000,02-2670-4895,서울특별시 영등포구 대림3동 608-1,서울특별시 영등포구 대림동 608-1번지 현대3차아파트,서울특별시 영등포구청,37.505501,126.895601,2020-09-21
침례(사립),건물경계선으로부터 10m이내 보차도,서울특별시,영등포구,유치원 및 어린이집 전체,서울특별시 영등포구 고시 제2014-18호,,100000,02-2670-4895,서울특별시 영등포구 여의도동 53-13(국제금융로 118),서울특별시 영등포구 여의도동 53-13번지,서울특별시 영등포구청,37.5180318,126.9340526,2020-09-21
청은(사립),건물경계선으로부터 10m이내 보차도,서울특별시,영등포구,유치원 및 어린이집 전체,서울특별시 영등포구 고시 제2014-18호,,100000,02-2670-4895,서울특별시 영등포구 양평동1가 20(선유서로 76),서울특별시 영등포구 양평동1가 20번지 신동아아파트,서울특별시 영등포구청,37.52252562,126.8856976,2020-09-21
은하(사립),건물경계선으로부터 10m이내 보차도,서울특별시,영등포구,유치원 및 어린이집 전체,서울특별시 영등포구 고시 제2014-18호,,100000,02-2670-4895,서울특별시 영등포구 당산동3가 79(당산로 28길 11),서울특별시 영등포구 당산동3가 79번지,서울특별시 영등포구청,37.52494939,126.8984357,2020-09-21
우성(사립),건물경계선으로부터 10m이내 보차도,서울특별시,영등포구,유치원 및 어린이집 전체,서울특별시 영등포구 고시 제2014-18호,,100000,02-2670-4895,서울특별시 영등포구 신길3동 365(도신로 68-1),서울특별시 영등포구 신길동 365번지 신길우성1차아파트,서울특별시 영등포구청,37.50574488,126.9006249,2020-09-21
