금연구역명,금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
서울한남초등학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연 피해방지 조례,,,02-2199-8363,서울특별시 용산구 한남대로 112,서울특별시 용산구 한남동 726-1,서울특별시용산보건소,37.53920365,127.0055998,2021-09-27
중경고등학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연 피해방지 조례,,,02-2199-8363,서울특별시 용산구 이촌로84길 34,서울특별시 용산구 이촌동 300-302,서울특별시용산보건소,37.5176804,126.9756383,2021-09-27
서울한강초등학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연 피해방지 조례,,,02-2199-8363,서울특별시 용산구 한강대로14길 9,서울특별시 용산구 한강로3가 65-5,서울특별시용산보건소,37.525219,126.9650994,2021-09-27
용강중학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연 피해방지 조례,,,02-2199-8363,서울특별시 용산구 이촌로65가길 91,서울특별시 용산구 이촌동 301-78,서울특별시용산보건소,37.52157693,126.9754853,2021-09-27
서울남정초등학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연 피해방지 조례,,,02-2199-8363,서울특별시 용산구 원효로64길 17-10,서울특별시 용산구 원효로2가 54-1,서울특별시용산보건소,37.53567383,126.9648037,2021-09-27
삼광초등학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연 피해방지 조례,,,02-2199-8363,서울특별시 용산구 두텁바위로1나길 19,서울특별시 용산구 후암동 190-2,서울특별시용산보건소,37.54775231,126.976551,2021-09-27
후암초등학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연 피해방지 조례,,,02-2199-8363,서울특별시 용산구 두텁바위로 140,서울특별시 용산구 후암동 30-138,서울특별시용산보건소,37.55136541,126.9817243,2021-09-27
용암초등학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연 피해방지 조례,,,02-2199-8363,서울특별시 용산구 녹사평대로60길 39,서울특별시 용산구 용산동2가 5-2147,서울특별시용산보건소,37.5453029,126.9894348,2021-09-27
청파초등학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연 피해방지 조례,,,02-2199-8363,서울특별시 용산구 효창원로 228,서울특별시 용산구 청파동2가 1-42,서울특별시용산보건소,37.5473049,126.9635439,2021-09-27
원효초등학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연 피해방지 조례,,,02-2199-8363,서울특별시 용산구 효창원로13길 38,서울특별시 용산구 산천동 6-73,서울특별시용산보건소,37.53616126,126.9515453,2021-09-27
금양초등학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연 피해방지 조례,,,02-2199-8363,서울특별시 용산구 효창원로 137,서울특별시 용산구 효창동 126-4,서울특별시용산보건소,37.54094231,126.9618319,2021-09-27
용산초등학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연 피해방지 조례,,,02-2199-8363,서울특별시 용산구 한강대로57길 33,서울특별시 용산구 한강로2가 1,서울특별시용산보건소,37.53561344,126.9725506,2021-09-27
신용산초등학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연 피해방지 조례,,,02-2199-8363,서울특별시 용산구 이촌로 255,서울특별시 용산구 이촌동 301-75,서울특별시용산보건소,37.52062959,126.9753663,2021-09-27
이태원초등학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연 피해방지 조례,,,02-2199-8363,서울특별시 용산구 녹사평대로40길 19,서울특별시 용산구 이태원동 406,서울특별시용산보건소,37.53647771,126.9876727,2021-09-27
서빙고초등학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연 피해방지 조례,,,02-2199-8363,서울특별시 용산구 서빙고로51길 14,서울특별시 용산구 서빙고동 235-1,서울특별시용산보건소,37.52206892,126.9923004,2021-09-27
보광초등학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연 피해방지 조례,,,02-2199-8363,서울특별시 용산구 우사단로 20,서울특별시 용산구 이태원동 15-13,서울특별시용산보건소,37.532578,126.996313,2021-09-27
한강중학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연 피해방지 조례,,,02-2199-8363,서울특별시 용산구 녹사평대로 73,서울특별시 용산구 서빙고동 4-1,서울특별시용산보건소,37.52361192,126.9927909,2021-09-27
용산공업고등학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연 피해방지 조례,,,02-2199-8363,서울특별시 용산구 서빙고로 24,서울특별시 용산구 한강로3가 65-209,서울특별시용산보건소,37.52434158,126.9673581,2021-09-27
서울디지텍고등학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연 피해방지 조례,,,02-2199-8363,서울특별시 용산구 회나무로12길 27,서울특별시 용산구 이태원2동 214-4,서울특별시용산보건소,37.53896942,126.990691,2021-09-27
신광초등학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연 피해방지 조례,,,02-2199-8363,서울특별시 용산구 청파로 263,서울특별시 용산구 청파동3가 100,서울특별시용산보건소,37.54289988,126.9694475,2021-09-27
신광여자중학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연 피해방지 조례,,,02-2199-8363,서울특별시 용산구 청파로 263,서울특별시 용산구 청파동3가 100,서울특별시용산보건소,37.54289988,126.9694475,2021-09-27
신광여자고등학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연 피해방지 조례,,,02-2199-8363,서울특별시 용산구 청파로 263,서울특별시 용산구 청파동3가 100,서울특별시용산보건소,37.542888,126.9694475,2021-09-27
용산중학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연 피해방지 조례,,,02-2199-8363,서울특별시 용산구 두텁바위로 74,서울특별시 용산구 용산동2가 1-1623,서울특별시용산보건소,37.54606606,126.980955,2021-09-27
용산고등학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연 피해방지 조례,,,02-2199-8363,서울특별시 용산구 두텁바위로 60,서울특별시 용산구 용산동2가 1,서울특별시용산보건소,37.54586738,126.9803277,2021-09-27
보성여자중학교,학교출입문으로부터 50미터 이내,서울특별시,용산구,학교절대보호구역,서울특별시 용산구 금연구역 지정 및 간접흡연 피해방지 조례,,,02-2199-8363,서울특별시 용산구 신흥로3가길 66,서울특별시 용산구 용산동2가 1-1123,서울특별시용산보건소,37.54308154,126.9842842,2021-09-27
