,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,소계,건강증진과,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
소계,"269,794",,"10,634","12,416","7,602","7,716","9,010","9,368","7,202","9,596","6,825","5,916","9,505","9,021","8,187","14,705","9,130","13,469","9,544","6,661","12,974","7,677","10,056","15,402","29,426","16,597","11,155"
청사,"1,384",,93,30,29,68,44,60,53,63,46,59,68,26,76,73,57,74,23,13,51,27,45,121,30,78,77
"유치원, 초중고등학교","2,164",,60,45,48,71,74,81,78,113,54,71,159,109,70,75,106,138,85,53,82,84,91,77,115,131,94
대학교,69,,9,2,2,2,3,4,1,7,3,1,7,1,9,4,,2,3,,,3,1,4,,1,
"의료기관, 보건소 등","17,899",,498,556,312,459,543,604,511,526,453,373,738,681,435,732,627,804,571,358,737,557,695,"1,126","3,022","1,163",818
어린이집,"5,697",,79,67,116,174,175,215,220,296,153,232,364,247,149,208,298,441,299,153,256,238,251,199,201,407,259
청소년 활동시설,216,,3,2,10,3,5,13,6,6,3,6,4,14,16,8,8,3,3,4,23,13,7,2,13,37,4
도서관,925,,36,24,5,6,6,42,5,53,8,45,35,82,30,38,18,79,109,28,6,45,60,48,28,77,12
어린이 놀이시설,"7,888",,5,136,38,361,195,330,188,382,229,295,480,254,293,259,487,609,434,217,242,193,324,427,586,555,369
학원,"13,542",,113,191,134,264,391,329,274,463,236,309,782,497,310,814,"1,047",737,378,376,330,386,383,944,"1,984","1,184",686
교통관련시설,"1,212",,15,16,16,15,11,45,14,845,4,14,17,,11,17,9,22,11,17,24,14,,3,30,30,12
어린이 운송승합차,"3,110",,22,2,35,27,68,210,177,413,92,190,78,134,36,32,160,259,113,,176,200,211,98,44,64,269
"사무용 건축물,",,,,,,,,,,,,,,,,,,,,,,,,,,,
복합건축물 등,"25,741",,211,"1,427",315,664,290,935,221,145,334,316,659,643,831,"1,283",762,986,708,788,"1,404",384,819,"2,134","6,347","1,521","1,614"
공연장,138,,25,21,6,2,9,,1,4,3,1,2,1,4,4,4,1,4,2,5,1,1,14,9,12,2
"대규모점포,",,,,,,,,,,,,,,,,,,,,,,,,,,,
지하상점가,477,,17,63,11,13,19,13,7,11,12,8,14,19,9,16,12,11,23,15,19,2,10,45,73,22,13
관광숙박업소,520,,41,99,16,8,11,14,2,5,5,3,1,13,9,24,1,23,15,7,29,3,13,11,71,92,4
"체육시설(대형, 실내)","11,305",,210,373,158,262,655,415,395,373,235,275,390,405,275,382,421,492,524,317,710,373,381,697,"1,443",737,407
사회복지시설,"4,071",,128,87,147,243,168,216,21,276,5,182,21,137,197,236,3,339,292,110,53,230,326,43,110,300,201
목욕장,876,,32,44,31,22,27,27,25,29,30,22,31,28,28,32,33,40,29,19,45,34,35,59,96,51,27
게임업소,"4,370",,91,13,54,96,122,138,215,155,237,127,165,121,97,77,337,327,147,163,225,231,253,190,173,343,273
만화대여소,145,,4,3,5,15,16,,,9,13,2,14,5,17,-,1,20,2,,,7,,2,10,,
고속국도 휴게시설,1,,,,-,,-,,,-,-,,,,,-,,,-,,,-,,1,,,
공동주택,313,,5,6,8,15,4,12,9,11,5,4,,12,11,15,26,23,11,12,13,16,5,23,24,20,23
음식점,"161,216",,"8,839","9,128","5,977","4,722","5,970","5,418","4,528","5,065","4,492","3,125","5,051","5,304","5,100","10,144","4,373","7,542","5,430","3,839","8,249","4,356","5,861","8,911","14,780","9,314","5,698"
흡연카페,,,,,,,,,,,,,,,,,,,,,,,,,,,
(식품자판기영업소),-,,,,-,-,-,,,-,-,-,,,,-,-,-,-,-,,-,,-,,-,
유치원10m,813,,19,14,13,30,29,32,31,50,20,24,61,41,25,24,42,56,31,17,39,37,33,24,36,51,34
어린이집10m,"5,702",,79,67,116,174,175,215,220,296,153,232,364,247,149,208,298,441,299,153,256,243,251,199,201,407,259
