,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,소계,건강증진과,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
소계,"17,406","2,155",239,221,353,597,394,462,505,826,763,476,826,445,311,742,553,879,733,282,848,654,460,"1,096",878,"1,152",556
공원,"1,797",24,53,49,50,56,9,46,52,48,66,50,118,75,60,82,91,144,52,62,44,71,95,50,134,129,87
어린이집 주변,611,,,,-,,,-,,-,153,-,,,-,51,,-,-,,,-,,,,407,
학교 주변(유치원포함),"1,713",,43,,48,71,74,48,47,113,38,48,98,68,46,51,64,84,85,53,82,47,91,110,79,131,94
버스정류소 주변,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(중앙,가로,마을)","9,967",389,128,144,217,443,272,316,352,626,423,323,501,289,161,554,391,645,505,149,491,482,222,617,562,433,332
택시승차대 주변,125,,,,-,,,-,,-,,,,,7,,,,-,,37,-,,14,29,38,
"거리(통학로, 하천변 포함)",650,,10,28,37,6,18,7,52,9,2,32,7,5,5,4,7,6,61,7,104,14,6,195,6,14,8
지하철 출입구 주변,"1,739","1,739",,,,,,,,,,,,,,,,,,,,,,,,,
광장,20,3,1,,1,1,,-,1,-,,,,,-,,,,3,4,,-,1,3,1,-,1
어린이 놀이터 주변,163,,,,-,,,-,,-,81,,,,-,,,,-,,,-,,82,,-,
아동복지시설 주변,87,,,,-,,,18,,27,,,,,14,,,,-,,,28,,,,-,
"주유소, 충전소",232,,,,-,17,21,26,,-,,,,,17,,,,27,,35,11,,,56,,22
전통시장,13,,,,-,,,-,,3,,3,,,1,,,,-,1,5,-,,,,,
마을마당 및 기타,289,,4,,-,3,,1,1,-,,20,102,8,,,,,-,6,50,1,45,25,11,,12
