지역구,연도,흡연민원건수,흡연단속건수
마포구,2012,234,9
마포구,2013,546,7
마포구,2014,829,774
마포구,2015,988,387
마포구,2016,685,362
마포구,2017,1101,444
마포구,2018,1147,366
마포구,2019,1857,330
마포구,2020,1372,265
중랑구,2008,0,0
중랑구,2009,0,0
중랑구,2010,0,0
중랑구,2011,0,0
중랑구,2012,0,0
중랑구,2013,245,13
중랑구,2014,446,928
중랑구,2015,587,625
중랑구,2016,673,391
중랑구,2017,796,354
중랑구,2018,861,233
중랑구,2019,470,712
중랑구,2020,705,182
동대문구,2012,8,56
동대문구,2013,32,149
동대문구,2014,163,261
동대문구,2015,152,97
동대문구,2016,141,336
동대문구,2017,217,1133
동대문구,2018,226,801
동대문구,2019,353,505
동대문구,2020,563,658
영등포구,2015,490,4000
영등포구,2016,564,5370
영등포구,2017,568,6243
영등포구,2018,568,6278
영등포구,2019,987,9187
영등포구,2020,692,3618
강서구,2017,460,1099
강서구,2018,526,1294
강서구,2019,357,876
강북구,2014,0,817
강북구,2015,158,440
강북구,2016,194,506
강북구,2017,174,425
강북구,2018,266,264
광진구,2016,410,589
광진구,2017,420,1151
광진구,2018,485,1415
광진구,2019,396,1115
광진구,2020,519,1037
관악구,2012,255,141
관악구,2013,411,64
관악구,2014,2122,1252
관악구,2015,1731,964
관악구,2016,1715,1202
관악구,2017,582,374
관악구,2018,781,535
관악구,2019,702,573
관악구,2020,868,305
구로구,2016,782,1564
구로구,2017,672,1344
구로구,2018,696,1392
구로구,2019,537,1074
구로구,2020,765,1530
강남구,2017,2003,1667
강남구,2018,2220,1224
강남구,2019,2264,1516
강남구,2020,2261,903
강남구,2021,1380,542
서초구,2017,720,26391
서초구,2018,955,18728
서초구,2019,1120,19424
서초구,2020,1330,5469
송파구,2012,59,0
송파구,2013,289,910
송파구,2014,776,1918
송파구,2015,935,2773
송파구,2016,1091,2561
송파구,2017,1697,2487
송파구,2018,1852,2332
송파구,2019,2241,3572
송파구,2020,3508,2529
송파구,2021,2090,3236
양천구,2015,241,1283
양천구,2016,293,1336
양천구,2017,303,979
양천구,2018,326,744
양천구,2019,291,988
양천구,2020,275,568
양천구,2021,253,492
동작구,2014,354,956
동작구,2015,491,524
동작구,2016,727,485
동작구,2017,604,525
동작구,2018,672,520
동작구,2019,164,271
동작구,2020,311,559
동작구,2021,400,169
은평구,2018,845,585
은평구,2019,877,627
은평구,2020,968,532
은평구,2021,775,357
